geo	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
GSM1561875	0	0	0.00347	0.01349	0	0	0.17892	0.14286	0	0	0	0	0	0	0.00517	0	0.01296	0.64312
GSM1561876	0	0	0	0.0084	0	0	0.03407	0.28872	0	0.00848	0	0	0	0	0.18142	0	0.0382	0.44071
GSM1561877	0	0	0.0302	0	0	0	0.02403	0.04545	0.10381	0	0.00775	0	0	0.12419	0.2245	0.0879	0.11203	0.24012
GSM1561878	0	0	0	0.00689	0	0	0.00266	0.42572	0	0.02634	0	0	0	0.03338	0.15212	0	0.00458	0.34831
GSM1561879	0	0	0	0.01588	0	0	0	0.30448	0	0	0	0	0	0	0.18875	0	0.02236	0.46853
GSM1561880	0	0	0	0.00418	0	0	0.03834	0.16268	0	0	0	0	0	0.20139	0.16998	0.02182	0.03064	0.37098
GSM1561881	0	0	0	0.00665	0	0	0.04218	0.35092	0	0	0	0	0	0.0305	0.0695	0	0.05868	0.44158
GSM1561882	0	0	0	0.03121	0	0	0.05008	0.21502	0	0	0	0	0	0	0	0	0	0.7037
GSM1561883	0	0	0.00224	0.00576	0	0	0.05885	0.20712	0	0	0	0	0	0.08909	0.02232	0	0.00546	0.60917
GSM1561884	0	0	0	0	0	0	0.01706	0.29106	0.00647	0	0	0	0	0.03343	0	0.05284	0.00821	0.59094
GSM1561885	0	0	0	0.00178	0	0	0.02457	0.24229	0.0218	0.01045	0	0	0	0.08258	0.04315	0	0.0508	0.52258
GSM1561886	0	0	0	0.03757	0	0	0.10386	0.30047	0	0	0	0	0	0	0.1172	0	0.01805	0.42285
GSM1561887	0	0	0	0.00481	0	0	0.07697	0.19782	0.02874	0.01379	0	0	0	0.02779	0	0	0.03981	0.61027
GSM1561888	0	0	0	0.00698	0	0	0.08102	0.29012	0	0.03315	0	0	0	0	0.0638	0	0.03869	0.48624
GSM1561889	0	0	0	0.00628	0	0	0.00568	0.257	0	0.03525	0	0	0	0.03968	0.05795	0	0.02387	0.57428
GSM1561890	0	0	0	0.0077	0	0	6.00E-05	0.46533	0	0	0	0	0	0	0.02922	0.01299	0	0.4847
GSM1561891	0	0	0	0.00462	0	0	0	0.4884	0	0	0	0	0	0.02692	0.06939	0	0	0.41067
GSM1561892	0	0	0	0.01092	0	0	0.04538	0.1799	0	0	0	0	0	0.00133	0.26313	0.04316	0.14372	0.31246
GSM1561893	0	0	0	0.01596	0	0	0.06925	0.22725	0	0	0	0	0	0.331	0.00247	0	0	0.35406
GSM1561894	0	0	0	0.01625	0	0	0.00438	0.41475	0	0	0	0	0	0	0.08941	0	0.0044	0.47081
GSM1561895	0	0	0.01687	0	0	0	0.01251	0.29948	0.0034	0	0	0	0	0.11834	0	0	0.03273	0.51667
GSM1561896	0	0	0	0.01023	0	0	0.01267	0.4253	0	0	0	0	0.04243	0.03255	0	0	0	0.47683
GSM1561897	0	0	0	0.00245	0	0	0.09879	0.10586	0	0.00056	0	0	0	0.05075	0.06027	0	0.02842	0.6529
GSM1561898	0	0	0	0.00094	0	0	0.03009	0.3292	0.04608	0	0	0	0	0.05571	0.04814	0.07253	0.03802	0.37929
GSM1561899	0	0	0	0.01379	0	0	0	0.25056	0	0.00668	0	0	0	0.02147	0.07394	0	0.00113	0.63243
GSM1561900	0	0	0	0.00895	0	0	0.02334	0.38949	0	0.03264	0	0	0	0	0	0	0	0.54558
GSM1561901	0	0	0	0.00288	0	0	0.0813	0.34083	0	0	0	0	0	0	0.06472	0	0.02385	0.48642
GSM1561902	0	0	0	0.01293	0	0	0.00119	0.22426	0	0.01162	0	0	0	0	0.13503	0	0.00683	0.60813
GSM1561903	0	0	0	0.01205	0	0	0.02396	0.36968	0	0.00907	0	0	0	0.05236	0.04111	0	0	0.49178
GSM1561904	0	0	0	0.01525	0	0	0.02428	0.39003	0	0.01123	0	0	0	0	0	0	0	0.55921
GSM1561905	0	0	0	0.01299	0	0	0.17048	0.1735	0	0.02973	0	0	0	0.00873	0.11372	0	0	0.49084
GSM1561906	0	0	0	0.01748	0	0	0.13659	0.26841	0	0	0	0	0	0	0.02189	0	0.00698	0.54864
GSM1561907	0	0	0	0.01516	0	0	0	0.45159	0	0.06727	0	0	0	0	0.01056	0	0.00497	0.45045
GSM1561908	0	0	0	6.00E-04	0	0	0.05516	0.41084	0	0.00597	0	0	0	0	0.00165	0.02555	0	0.50023
GSM1561909	0	0	0	0.01237	0	0	0.1337	0.39909	0	0	0	0	0	0.04143	0.00136	0	0.03241	0.37962
GSM1561910	0	0	0	0	0	0	0.03396	0.18831	0.12581	0	0	0	0	0.23164	0	0.00704	0.00594	0.4073
GSM1561911	0	0	0	0.0223	0	0	0.08531	0.38782	0	0	0	0	0	0	0.11123	0	0	0.39334
GSM1561912	0	0	0	0.01582	0	0	0	0.43587	0	0.01339	0	0	0	0	0.00981	0.03534	0.00723	0.48255
GSM1561913	0	0	0	0.01211	0	0	0.11765	0.29634	0	0.02261	0	0	0	0	0.04746	0	0	0.50383
GSM1561914	0	0	0	0.00999	0	0	0.05902	0.34647	0	0	0	0	0	0	0.0191	0.02072	0	0.5447
GSM1561915	0.00035	0	0	0	0	0	0.05658	0.26248	0.11454	0	0.01156	0	0	0.04692	0	0	0	0.50756
GSM1561916	0	0	0	0	0	0	0.04849	0.21116	0.07248	0	0	0	0.00171	0.30783	0.06792	0.04846	0.01614	0.2258
GSM1561917	0	0	0	0.01252	0	0	0	0.27368	0	0.0391	0	0	0	0	0.0402	0.00018	0.01289	0.62141
GSM1561918	0	0	0	0.01662	0	0	0.1029	0.37976	0	0	0	0	0	0	0.08282	0	0.01791	0.39998
GSM1561919	0	0	0	0.01225	0	0	0	0.43684	0	0.01344	0	0	0	0	0.12859	0	0.02181	0.38707
GSM1561920	0	0	0	0.02611	0	0	0.01446	0.30495	0	0	0	0	0	0	0.04514	0.01451	0.00365	0.59118
GSM1561921	0	0	0	0.01407	0	0	0.08554	0.23823	0	0	0	0	0	0.01396	0.11889	0	0.04075	0.48855
GSM1561922	0	0	0	0.01126	0	0	0	0.36209	0	0.02873	0	0	0	0	0.14774	0	0.05647	0.39373
GSM1561923	0	0	0	0.00729	0	0	0.01108	0.341	0	0	0	0	0	0.0191	0.15665	0	0.01812	0.44676
GSM1561924	1.00E-05	0	0	0.00031	0	0	0.13299	0.2124	0.00776	0.01225	0	0	0	0.05094	0.1492	0	0.1278	0.30634
GSM1561925	0	0	0	0	0	0	0.07227	0	0.10574	0.00051	0.00682	0	0	0.18908	0	0	0.14878	0.47679
GSM1561926	0	0	0	0	0	0	0.04771	0	0.27444	0	0.04504	0	0.00823	0.20964	0	0	0.09188	0.32306
GSM1561927	0	0	0	0	0	0	0.02539	0.13587	0.24314	0	0.04971	0	0.01118	0.06811	0	0.04497	0	0.42161
GSM1561928	0	0	0	0	0	0	0.06015	0.12263	0.19831	0	0.02196	0	0	0.2752	0	0.08984	0	0.23193
GSM1561929	0	0	0.01373	0	0	0	0.02042	0.15917	0.16348	0	0	0	0.03314	0.15463	0.04406	0.06182	0	0.34955
GSM1561930	0	0	0	0	0	0	0.04486	0.30163	0.01231	0	0	0	0	0.11335	0.08567	0.0538	0.06281	0.32557
GSM1561931	0	0	0.00078	0	0	0	0.04678	0	0.17669	0	0.03486	0	0	0.18478	0	0.0825	0	0.47362
GSM1561932	0	0	0	0	0	0	0.02803	0.10553	0.24875	0	0.00543	0	0.01709	0.23843	0	0.04172	0.02002	0.295
GSM1561933	0	0	0	0	0	0	0.07185	0.03386	0.17196	0.01523	0	0	0	0.15766	0	0.04683	0.05295	0.44966
GSM1561934	0	0	0	0	0	0	0.07139	0.16141	0.07867	0.00253	0	0	0	0.23579	0	0.04152	0	0.40868
GSM1561935	0	0	0	0	0	0	0.03992	0.15493	0.1248	0	0.01883	0	0	0.13748	0	0.06104	0	0.463
GSM1561936	0	0	0	0	0	0	0.02732	0.20242	0.06649	0	0	0	0	0.23728	0	0.06504	0	0.40146
GSM1561937	0	0	0	0	0	0	0.03757	0	0.12397	0.01921	0	0	0	0.30485	0	0.01894	0.07027	0.42518
GSM1561938	0	0	0	0	0	0	0.04776	0.06174	0.11174	0.00478	0	0	0	0.2662	0	0	0.06541	0.44236
GSM1561939	0	0	0	0	0	0	0.02869	0	0.11146	0.02258	0	0	0	0.30567	0.02088	0	0.13963	0.37109
GSM1561940	0	0	0	0	0	0	0.0054	0.12635	0.13932	0	0	0	0	0.21862	0	0.10915	0.0538	0.34736
GSM1561941	0	0	0	0	0	0	0.0217	0.22132	0.03793	0	0	0	0	0.11504	0.08327	0.18078	0.13556	0.2044
GSM1561942	0	0	0	0	0	0	0.03666	0.03384	0.2374	0.00907	0	0	0	0.17758	0	0.06431	0.16403	0.27712
GSM1561943	0	0	0	0	0	0	0.03959	0	0.13301	0	0	0	0	0.24736	0.01087	0.11775	0.06074	0.39068
GSM1561944	0	0	0	0	0	0	0.05995	0.12867	0.16142	0	0.01101	0	0	0.19224	0.03784	0	0.00398	0.40489
GSM1561945	0	0	0	0	0	0	0.08655	0.08216	0.17547	0	0	0	0	0.05245	0	0.1141	0	0.48927
GSM1561946	0	0	0	0	0	0	0.03829	0.1301	0.10798	0	0	0	0	0.28625	0	0.0952	0.00392	0.33826
GSM1561947	0	0	0	0	0	0	0.03878	0.03023	0.13508	0.0046	0	0	0	0.23963	0	0.03057	0.05303	0.46808
GSM1561948	0	0	0	0	0	0	0.00853	0.09613	0.14939	0	0	0	0	0.28861	0	0.14646	0	0.31089
GSM1561949	0	0	0	0	0	0	0.03969	0.12589	0.18378	0	0.00783	0	0.00905	0.12515	0	0.09503	0	0.41358
GSM1561950	0	0	0	0	0	0	0	0.30909	0.09525	0	0	0	0	0.07086	0	0.05764	0.008	0.45916
GSM1561951	0	0	0	0	0	0	0.05896	0.03494	0.15477	0.00144	0	0	0	0.21245	0.00903	0.02774	0.04042	0.46026
GSM1561952	0	0	0	0	0	0	0.01035	0.10455	0.11697	0	0	0	0	0.27941	0	0.12546	0.08082	0.28244
GSM1561953	0	0	0.01288	0	0	0	0.05625	0.09425	0.28272	0	0	0	0.06657	0.08061	0	0	0.07519	0.33153
GSM1561954	0	0	0	0	0	0	0.00539	0.07751	0.1867	0.00671	0	0	0	0.11916	0	0.04191	0.04542	0.5172
GSM1561955	0	0	0	0	0	0	0.04564	0	0.15825	0	0.01797	0	0.00726	0.15628	0	0.02881	0.04191	0.54387
GSM1561956	0	0	0	0	0	0	0.01254	0.11231	0.24457	0	0.00791	0	0	0.06222	0	0.04278	0	0.51767
GSM1561957	0	0	0	0	0	0	0.0495	0	0.18185	0	0.01166	0	0	0.22442	0	0.01141	0.09863	0.42254
GSM1561958	0	0	0.00689	0	0	0	0.00072	0.0443	0.25314	0.00886	0	0	0.00014	0.18533	0.04964	0.0169	0.10289	0.33118
GSM1561959	0	0	0.01049	0	0	0	0.00014	0.14541	0.16284	0	0	0	0.01907	0.11818	0	0.07803	0.0501	0.41574
GSM1561960	0	0	0	0	0	0	0.06992	0	0.09283	0	0	0	0	0.23392	0	0	0.1159	0.48743
GSM1561961	0	0	0	0	0	0	0.04092	0.07636	0.17536	0.00782	0.02022	0	0	0.18555	0	0.04892	0.03845	0.4064
GSM1561962	0	0	0	0	0	0	0.02486	0.05539	0.2118	0.01227	0	0	0	0.14517	0	0.03222	0.0857	0.43258
GSM1561963	0	0	0.00295	0	0	0	0.04442	0.07385	0.12143	0	0	0	0	0.37097	0.00109	0.08377	0.12777	0.17375
GSM1561964	0	0	0.00736	0	0	0	0	0.15314	0.31763	0	0	0	0.05103	0.13127	0	0.00464	0.04902	0.2859
GSM1561965	0	0	0	0	0	0	0.03197	0.16336	0.05162	0.00019	0	0	0	0.18448	0	0.11934	0.07426	0.3748
GSM1561966	0	0	0.00448	0	0	0	0.00338	0.13607	0.21088	0	0.00528	0	0.01324	0.15888	0	0.12902	0.12971	0.20906
GSM1561967	0	0	0.01156	0	0	0	0.04932	0.16298	0.25218	0	0	0	0.01302	0.22558	0	0.06088	0.01302	0.21146
GSM1561968	0	0	0.00316	0	0	0	0	0.06871	0.07263	0	0	0	0	0.086	0.31679	0.22959	0.07645	0.14668
GSM1561969	0	0	0.00514	0	0	0	0.02376	0.05963	0.35716	0	0	0	0.03674	0.2247	0	0.02253	0.04866	0.22167
GSM1561970	0	0	0	0.00428	0	0	7.00E-05	0.16911	0	0.04026	0	0	0	0.06941	0.10724	0	0.06936	0.54027
GSM1561971	0	0	0	0	0	0	0.04105	0.1368	0.3152	0	0	0	0.04068	0.10575	0	0.01756	0.06608	0.27688
GSM1561972	0	0	0	0.00021	0	0	0.03296	0.14374	0.06834	0.01673	0	0	0	0.07396	0.06704	0	0.04934	0.54769
GSM1561973	0	0	0	0	0	0	0.04717	0.04237	0.11862	0.01532	0	0	0	0.19354	0.00247	0	0.09758	0.48292
GSM1561974	0	0	0	0	0	0	0.0328	0	0.31485	0	0	0	0.08608	0.04778	0	0.00213	0.03308	0.48328
GSM1561975	0	0	0	0.00183	0	0	0.11672	0.35025	0	0	0	0	0	0.08253	0.01644	0.02335	0	0.40889
GSM1561976	0	0	0	0	0	0	0.03263	0.12313	0.12074	0.00634	0	0	0	0.19152	0.0146	0	0.01156	0.49949
GSM1561977	0	0	0.00217	0	0	0	0.02641	0	0.27777	0	0	0	0.08227	0.07462	0	0	0.02623	0.51053
GSM1561978	0	0	0	0	0	0	0.02712	0.05798	0.15737	0	0	0	0	0.2791	0	0.00059	0.10071	0.37714
GSM1561979	0	0	0.00956	0	0	0	0.01726	0.27374	0.1043	0	0	0	0.02106	0	0.03393	0.02995	0.03877	0.47144
GSM1561980	0	0	0.04164	0.01075	0	0	0.08003	0.24796	0.04814	0	0	0	0	0.08377	0.08863	0.01429	0	0.38479
GSM1561981	0	0	0	0	0	0	0.08938	0.07397	0.23208	0	0	0	0.06164	0.13057	0	0	0.05194	0.36041
GSM1561982	0	0	0	0	0	0	0.06136	0.02568	0.21142	0	0	0	0.05295	0.14639	0	0	0	0.5022
GSM1561983	0	0	0.01936	8.00E-05	0	0	0.01767	0.24109	0	0	0.00583	0	0	0.15188	0.11035	0	0.01103	0.44272
GSM1561984	0	0	0	0	0	0	0.10205	0.19911	0.18904	0	0	0	0.06081	0.06548	0	0	0.00419	0.37932
GSM1561985	0	0	0.00097	0	0	0	0.02647	0.15045	0.07874	0	0	0	0.00874	0.3526	0	0.07897	0.02767	0.2754
GSM1561986	0	0	0	0	0	0	0.04	0.3819	0.04104	0	0	0	0	0	0.02435	0.03722	0.045	0.43049
GSM1561987	5.00E-04	0	0.00157	0	0	0	0.04828	0.05283	0.11834	0.01347	0	0	0	0.16288	0	0	0.06209	0.54003
GSM1561988	0	0	0	0.01074	0	0	0	0.38573	0	0	0	0	0	0	0	0	0	0.60353
GSM1561989	0	0	0	0	0	0	0.04587	0.14619	0.14859	0	0	0	0.04724	0.10748	0	0	0	0.50464
GSM1561990	0	0	0	0	0	0	0.02935	0.20771	0.09585	0	0	0	0	0.07204	0	0.04187	0.01686	0.53632
GSM1561991	0	0	0.01436	0	0	0	0.03899	0.05057	0.147	0	0	0	0.00717	0.3714	0.01203	0.02112	0.12983	0.20753
GSM1561992	0	0	0.02605	0	0	0	0.04227	0.10701	0.19622	0	0	0	0.05764	0.15836	0	0.05044	0.05274	0.30926
GSM1561993	0	0	0.0068	0	0	0	0.05204	0.03997	0.19849	0	0	0	0.02963	0.18483	0.0148	0	0.07609	0.39735
GSM1561994	0	0	0.03639	0.00344	0	0	0.11951	0.11411	0.11495	0	0	0	0.05913	0.11475	0	0	0.01917	0.41855
GSM1561995	0	0	0.0111	0	0	0	0.03132	0.0855	0.18957	0	0	0	0.0219	0.38844	0.01865	0.01582	0.05614	0.18156
GSM1561996	0	0	0	0.00323	0	0	0.04412	0.06287	0.22058	0	0	0	0.02308	0.22046	0	0	0.00885	0.4168
GSM1561997	0	0	0.01607	0	0	0	0.04795	0.31624	0.037	0	0	0	0.01412	0.15659	0.00948	0	0.01692	0.38562
GSM1561998	0	0	0	0.00224	0	0	0.08723	0.3637	0	0	0	0	0	0.03658	0	0	0.01063	0.49961
GSM1561999	0	0	0	0	0	0	0.00044	0.19835	0.19514	0	0	0	0.01985	0.12136	0	0	0.01284	0.45202
GSM1562000	0	0	0.00028	0	0	0	0	0.18039	0.19097	0	0	0	0.04342	0.07532	0	0.02954	0.03666	0.44343
GSM1562001	0	0	0.00689	0	0	0	0.01528	0.1025	0.29347	0	0	0	0.04783	0.12587	0	0.00077	0.03394	0.37344
GSM1562002	0	0	0	0	0	0	0.08618	0.20342	0.12156	0	0	0	0.05119	0.06437	0	0.04671	0.11387	0.31271
GSM1562003	0	0	0	0	0	0	0.11388	0.0363	0.22987	0	0.0055	0	0.02114	0.29935	0	0.02096	0.01834	0.25466
GSM1562004	0	0	0	0	0	0	0.03766	0.05107	0.17081	0	0	0	0	0.16893	0.0846	0.09161	0.11322	0.28211
GSM1562005	0	0	0	0.00102	0	0	0.04928	0.36505	0.01956	0	0	0	0	0.04214	0.0763	0	0.01137	0.43528
GSM1562006	0	0	0	0	0	0	0.06763	0.04143	0.11177	0	0	0	0	0.25684	0	0	0.08558	0.43674
GSM1562007	0	0	0	0	0	0	0.02241	0.14603	0.02737	0	0	0	0	0.13882	0.16008	0.0295	0.05656	0.41924
GSM1562008	0	0	0.00943	0	0	0	0	0.15185	0.26665	0	0	0	0.01194	0.17614	0.02317	0.05586	0.04632	0.25865
GSM1562009	0	0	0	0	0	0	0.03922	0.14941	0.18502	0	0	0	0.05825	0.08424	0	0.01554	0.07949	0.38882
GSM1562010	0	0	0.00554	0	0	0	0.01748	0.38842	0	0	0	0	0	0.20119	0.03489	0	0.04896	0.30352
GSM1562011	0	0	0	0	0	0	0.04257	0.20502	0.11268	0	0	0	0.0248	0.12223	0	0	0.02206	0.47064
GSM1562012	0	0	0	0.00414	0	0	0	0.41272	0	0	0	0	0	0.10527	0.06515	0.04006	0.01466	0.35799
GSM1562013	0	0	0	0	0	0	0.04478	0.05712	0.18335	0	0	0	0	0.15977	0.05252	0	0.1105	0.39196
GSM1562014	0	0	0.00394	0	0	0	0.04889	0.01326	0.12911	0	0	0	0.02183	0.07423	0.04137	0	0.14207	0.52531
GSM1562015	0	0	0.01344	0	0	0	0.11737	0.03607	0.10741	0	0.02199	0	0	0.06317	0	0.00866	0.01285	0.61903
GSM1562016	0	0	0	0	0	0	0.01446	0.10956	0.10157	0	0	0	0	0.12499	0.14956	0.00066	0.21508	0.28412
GSM1562017	0	0	0	0	0	0	6.00E-04	0.13887	0.10514	0	0	0	0	0.09451	0.15391	0.01477	0.0929	0.3993
GSM1562018	0	0	0	0	0	0	0.08014	0.15582	0	0	0.05052	0	0	0.04972	0	0	0.00637	0.65743
GSM1562019	0	0	0	0.00262	0	0	0.03779	0.00101	0.04263	0	0	0	0	0.25031	0.18189	0	0.10015	0.38359
GSM1562020	0	0	0	0	0	0	0.05415	0	0.15313	0	0	0	0	0.15166	0.00287	0	0.08118	0.55701
GSM1562021	0	0	0	0	0	0	0.10107	0.16114	0.01038	0	0	0	0	0.12865	0.07778	0	0.06132	0.45968
GSM1562022	0	0	0	0.00499	0	0	0.07323	0.06379	0.04638	0	0	0	0	0.21185	0.04691	0	0.08446	0.46838
GSM1562023	0	0	0	0	0	0	0.04756	0.01045	0.1816	0	0	0	0.01707	0.18653	1.00E-05	0	0.04893	0.50786
GSM1562024	0	0	0	0	0	0	0.02301	0.02874	0.15265	0.00794	0	0	0	0.28546	0	0	0.06821	0.43398
GSM1562025	0.00135	0	0	0.01436	0	0	0.12324	0.16527	0	0	0	0	0	0.06376	0.07059	0	0.01888	0.54254
GSM1562026	0	0	0	0	0	0	0.03451	0.0247	0.0931	0.01076	0	0	0	0.1723	0.02532	0	0.07513	0.5642
GSM1562027	0	0	0	0.00479	0	0	0.02018	0.13468	0	0	0	0	0	0.17216	0.09577	0	0.08723	0.48519
GSM1562028	0	0	0	0.00395	0	0	0.10796	0.17313	0	0	0	0	0	0.15464	0.10028	0	0.07433	0.3857
GSM1562029	0	0	0	0	0	0	0.06952	0.05274	0.11475	0.0057	0	0	0	0.10416	0.15731	0.01713	0.14486	0.33383
GSM1562030	0	0	0	0.00665	0	0	0.01564	0.26267	0	0	0	0	0	0.03949	0.06538	0	0.05499	0.55517
GSM1562031	0	0	0	0	0	0	0.0689	0	0.36019	0	0.01176	0	0.02612	0.15188	0	0	0.04945	0.33169
GSM1562032	0	0	0	0	0	0	0.02977	0.11898	0	0	0	0	0	0.2898	0.1407	0	0.18784	0.2329
GSM1562033	0	0	0	0	0	0	0.02265	0.0788	0.19429	0	0	0	0.06368	0.10785	0	0	0.03707	0.49566
GSM1562034	0	0	0.0049	0	0	0	0.04104	0.09812	0	0	0	0	0.01882	0.15181	0.08407	0	0.14348	0.45776
GSM1562035	0	0	0	0	0	0	0.09263	0	0.20224	0	0	0	0.07622	0.11942	0	0	0.09528	0.41422
GSM1562036	0	0	0	0.00264	0	0	0.00353	0.23668	0	0.02047	0	0	0	0.13608	0.08475	0	0.01879	0.49706
GSM1562037	0	0	0	0	0	0	0.07257	0	0.18108	0	0.00062	0	0.03047	0.19478	0	0	0.06062	0.45987
GSM1562038	0	0	0	0	0	0	0.04673	0.24324	0	0.01737	0	0	0	0.09444	0.05981	0	0.08862	0.44979
GSM1562039	0	0	0	0.00054	0	0	0.1005	0.16744	0	0.02878	0	0	0	0.06243	0.08387	0	0.0466	0.50984
GSM1562040	0	0	0	0	0	0	0.07505	0	0.14624	0	0	0	0	0.31701	0.04782	0	0.11886	0.29502
GSM1562041	0	0	0	0.00232	0	0	0.04552	0.12356	0	0	0	0	0	0.16375	0.10224	0	0.11356	0.44906
GSM1562042	0	0	0	0	0	0	0.14447	0.14277	0.07814	0.01455	0	0	0	0.08999	0.01751	0	0.04021	0.47235
GSM1562043	0	0	0	0.00798	0	0	0.06889	0.03481	0.08804	0.00454	0	0	0	0.13588	0	0	0.06886	0.59099
GSM1562044	0	0	0	0	0	0	0.03082	0.10333	0.07139	0	0	0	0	0.14294	0.11065	0	0.13435	0.40653
GSM1562045	0	0	0	0.01151	0	0	0.12406	0.20692	0	0	0	0	0	0.09301	0.04879	0	0.00207	0.51365
GSM1562046	0	0	0	0.02012	0	0	0.09236	0.06982	0.12793	0.00497	0	0	0	0.0891	0.02116	0	0.08284	0.4917
GSM1562047	0	0	0	0	0	0	0.06291	0.12444	0	0	0	0	0	0.23206	0.05994	0	0.09176	0.42888
GSM1562048	0	0	0	0.00565	0	0	0.09497	0.13731	0	0	0	0	0	0.12313	0.09222	0	0.06725	0.47945
GSM1562049	0	0	0	0.00879	0	0	0.02483	0.19833	0	0.00321	0	0	0	0.13533	0.09942	0	0.03661	0.49348
GSM1562050	0	0	0	0.01773	0	0	0.00693	0.20766	0	0	0	0	0	0	0.15894	0	0.04877	0.55997
GSM1562051	0	0	0	0.00955	0	0	0.10263	0.08905	0	0.0242	0	0	0	0	0.12686	0	0.02322	0.62448
GSM1562052	0	0	0	0.00893	0	0	0.0762	0.11812	0.05063	0	0	0	0	0.16377	0.09149	0	0.05869	0.43217
GSM1562053	0	0	0	0.00397	0	0	0.25127	0.01711	0	0	0	0	0	0.04479	0	0	0.03794	0.64492
GSM1562054	0	0	0	0.00692	0	0	0.06359	0.10859	0.03454	0	0	0	0	0.06096	0.07094	0	0.07551	0.57896
GSM1562055	0	0	0.02206	0.01926	0	0	0.15786	0.119	0	0.0215	0	0	0	0.01665	0.03554	0	0.02644	0.58169
GSM1562056	0	0	0.0251	0.0142	0	0	0.16195	0.01373	0	0	0	0	0	0.11072	0.02352	0	0.0751	0.57568
GSM1562057	0	0	0	0.00372	0	0	0.0604	0.24363	0	0.01133	0	0	0	0.04487	0.02208	0	0.1065	0.50748
GSM1562058	0	0	0	0.01415	0	0	0.10025	0.07543	0	0	0	0	0	0.09047	0.19298	0	0.12442	0.4023
GSM1562059	0	0	0	0.00707	0	0	0.08178	0.28135	0	0	0	0	0	0.07951	0.02696	0	0.0542	0.46913
GSM1562060	0	0	0	0.00108	0	0	0.08137	0.23842	0.00596	0	0	0	0	0.07027	0.05597	0	0.07319	0.47374
GSM1562061	0	0	0	0.0024	0	0	0.04508	0.27222	0	0	0	0	0	0.07204	0.08684	0	0.0484	0.47301
GSM1562062	0	0	0	0.00577	0	0	0.03672	0.13926	0	0	0	0	0	0.19293	0.08798	0	0.08976	0.44759
GSM1562063	0	0	0	6.00E-04	0	0	0.05472	0.19654	0	0.06798	0	0	0	0.13342	0.0213	0	0.07454	0.4509
GSM1562064	0	0	0	0	0	0	0.03317	0.02985	0.0681	0	0	0	0	0.26465	0.14023	0	0.10872	0.35529
GSM1562065	0	0	0	0.00019	0	0	0.07848	0	0.01861	0	0	0	0	0.18232	0.0728	0	0.15417	0.49342
GSM1562066	0	0	0	0	0	0	0.03158	0.10107	0.09198	0.04747	0	0	0	0.01457	0.0313	0	0.08993	0.5921
GSM1562067	0	0	0	0.00119	0	0	0.01667	0.22575	0.01578	0.00358	0	0	0	0.15	0.04263	0	0.06772	0.47668
GSM1562068	0	0	0	0.00173	0	0	0.05359	0.16668	0	0	0	0	0	0.23	0.10838	0	0.11437	0.32526
