geo	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
GSM1561875	0	0	0.03534	0	0.00051	0	0	0	0	0.02744	0.04952	0	0.08392	0.0323	0	0	0	0	0	0	0	0.77097
GSM1561876	0.01402	0	0	0	0	0	0	0	0	0.10685	0.03181	0	0.21965	0.21847	0	0	0	0	0.02315	0	0	0.38606
GSM1561877	0	0	0.00947	0.29758	0.02287	0	0	0	0	0	0.22754	0	0.18952	0	0	0	0	0	0	0	0	0.25303
GSM1561878	0.05778	0	0	0	0.04996	0	0	0	0	0.12943	0.00519	0	0.15638	0.15653	0	0	0	0	0	0	0	0.44472
GSM1561879	0	0.00877	0.00135	0.03595	0	0	0	0	0	0.10503	0.02824	0	0.19154	0.16181	0	0	0	0	0.01491	0.00031	0	0.4521
GSM1561880	0	0	0	0.13161	0.18441	0	0	0	0	0	0.1101	0	0.09727	0.04233	0	0.00406	0	0	0	0	0	0.43022
GSM1561881	0	0	0	0	0.02674	0	0	0	0	0.01315	0.11779	0	0.28278	0.04923	0	0	0	0	0	0	0	0.51032
GSM1561882	0	0	0	0	0	0	0	0	0	0.06516	0	0	0.2041	0.11269	0	0	0	0	0.00797	0	0	0.61007
GSM1561883	0.02727	0	0	0	0.00104	0	0	0	0	0.08777	0	0	0.18867	0.13381	0	0	0	0	0	0	0	0.56145
GSM1561884	0.03818	0	0.0045	0	0.03734	0	0	0	0	0.05663	0.055	0	0.0772	0.06305	0	0	0	0	0	0	0	0.6681
GSM1561885	0.03403	0	0	0	0.04054	0	0	0	0	0.05031	0.04707	0	0.20116	0.11442	0	0	0	0	0	0	0	0.51247
GSM1561886	0	0	0	0	0	0	0	0	0	0.0126	0.13693	0	0.20461	0.29714	0	0	0	0	0.02376	0	0	0.32497
GSM1561887	0.02982	0	0	0	0	0	0	0	0	0.07882	0	0	0.13004	0.10728	0	0	0	0	0	0	0	0.65405
GSM1561888	0.02723	0	0	0	0	0	0	0	0	0.09516	0.0356	0	0.07707	0.24016	0	0	0	0	0	0	0	0.52477
GSM1561889	0.03703	0	0	0	0	0	0	0	0	0.08043	0.00804	0	0.1399	0.20747	0	0	0	0	0	0	0	0.52712
GSM1561890	0.0239	0	0	0	0.00102	0	0	0	0	0.08675	0	0	0.20326	0.01889	0	0	0	0	0	0	0	0.66618
GSM1561891	0.02216	0	0	0	0.0334	0	0	0	0	0.08986	0.00208	0	0.18826	0.06709	0	0	0	0	0	0	0	0.59716
GSM1561892	0	0	0	0.20512	0	0	0	0	0	0	0.25476	0	0.19442	0.00676	0	0	0	0	0	0	0	0.33894
GSM1561893	0.0072	0.00482	0.00324	0	0.36348	0	0	0	0	0	0.02653	0	0.20089	0	0	0	0	0	0	0	0	0.39383
GSM1561894	0	0	0	0	0	0	0	0	0	0.09201	0.00838	0	0.17179	0.24096	0	0	0	0	0.01933	0	0	0.46754
GSM1561895	0.01639	0	0.00362	0	0.04929	0	0	0	0	0.02741	0.0413	0	0.24159	0	0	0	0	0	0	0	0	0.6204
GSM1561896	3.00E-05	0	0	0	0.01416	0	0	0	0.00479	0.04332	0	0	0.28671	0	0.02927	0	0	0.08087	0	0	0	0.54084
GSM1561897	0.02885	0	0.00368	0	0.04449	0	0	0	0	0.03989	0.04942	0	0.04862	0.12417	0	0	0	0	0.00598	0	0	0.65489
GSM1561898	0.00161	0.00643	0	0.05806	0.08429	0	0	0	0	0	0.12097	0	0.20048	0.00386	0	0	0	0	0	0	0	0.52429
GSM1561899	0.03097	0	0	0	0	0	0	0	0	0.06802	0	0	0.15616	0.15442	0	0	0	0	0.00621	0	0	0.5842
GSM1561900	0.01365	0	0	0	0	0	0	0	0	0.08327	0.01238	0	0.18721	0.2078	0	0	0	0	0	0	0	0.4957
GSM1561901	0.01624	0	0	0	0	0	0	0	0	0.06252	0.01956	0	0.22311	0.0867	0	0	0	0	0.00209	0	0	0.58977
GSM1561902	0.01591	0	0	0	0	0	0	0	0	0.07939	0.01587	0	0.11398	0.22734	0	0	0	0	0.00841	0	0	0.53909
GSM1561903	0.02788	0	0	0	0.0177	0	0	0	0	0.01678	0.02333	0	0.25843	0.16254	0	0	0	0	0	0	0	0.49334
GSM1561904	0	0	0	0	0	0	0	0	0	0.06664	0.00292	0	0.23334	0.20139	0	0	0	0	0	0	0	0.49571
GSM1561905	0.02456	0	0.00458	0	0.00098	0	0	0	0	0.07967	0.02092	0	0.09414	0.31479	0	0	0	0	0.02717	0	0	0.4332
GSM1561906	0.00906	0	0	0	0	0	0	0	0	0.11707	0	0	0.17878	0.07867	0	0	0	0.02182	0.01736	0	0	0.57724
GSM1561907	0.0045	0	0	0	0	0	0	0	0	0.04947	0.0303	0	0.13086	0.31235	0	0	0	0	0.00236	0	0	0.47016
GSM1561908	0	0	0	0	0	0	0	0	0	0.06763	0	0	0.20814	0.08091	0	0	0	0	0	0	0	0.64333
GSM1561909	0.0212	0	0	0	0.01033	0	0	0	0	0.10118	0.00899	0	0.13852	0.05867	3.00E-04	0	0	0	0	0	0	0.6608
GSM1561910	0	0	0.00489	0.02581	0.19274	0	0	0	0	0	0.04712	0	0.17704	7.00E-04	0	0	0	0	0	0	0	0.5517
GSM1561911	0.00506	0	0	0	0	0	0	0	0	0.13251	0.03428	0	0.19041	0.11044	0	0	0	0	0.01646	0	0	0.51084
GSM1561912	0	0	0	0	0	0	0	0	0	0.0712	0.02507	0	0.19771	0.18682	0	0	0	0	0	0.03513	0	0.48407
GSM1561913	0.01693	0	0	0	0	0	0	0	0	0.0786	0.01388	0	0.12553	0.28243	0	0	0	0	0.00052	0	0	0.48211
GSM1561914	0	0	0	0	0	0	0	0	0	0.10229	0	0	0.07372	0.20028	0	0	0	0	0	0	0	0.6237
GSM1561915	0.05221	0	0	0	0.05522	0	0	0	0	0.06066	0	0	0.14892	0	0.0016	0	0	0.00657	0	0	0	0.67482
GSM1561916	0.02937	0	0	0.13704	0.23493	0	0	0	0	0	0.06508	0	0.18453	0	0	0	0.00747	0.01557	0	0	0.01146	0.31455
GSM1561917	0.02634	0	0	0	0	0	0	0	0	0.0556	0.02398	0	0.09096	0.26018	0	0	0	0	0	0	0	0.54294
GSM1561918	0.01234	0	0.0309	0	0	0	0	0	0	0.10914	0.02258	0	0.14968	0.21448	0	0	0	0	0.01445	0	0	0.44643
GSM1561919	0.02742	0	0	0	0	0	0	0	0	0.07111	0.05237	0	0.22825	0.205	0	0	0	0	0.00069	0	0	0.41515
GSM1561920	0	0	0.00209	0	0.0436	0	0	0	0	0.0286	0.10111	0	0.04036	0.05487	0	0	0	0	0	0	0	0.72936
GSM1561921	0.00285	0	0	0	0.03768	0	0	0	0	0	0.14618	0	0.17593	0.05059	0	0	0	0	0.03164	0	0	0.55513
GSM1561922	0.00251	0	0	0	0.00305	0	0	0	0	0.02837	0.09786	0	0.26761	0.25966	0	0	0	0	0	0	0	0.34095
GSM1561923	0	0	0	0	0.02372	0	0	0	0	0.08251	0.04339	0	0.25105	0.18945	0	0	0	0	0.00071	0	0	0.40917
GSM1561924	0.00381	0	0	0.14334	0	0	0	0	0	0	0.19423	0	0.23345	0.10676	0	0	0	0	0	0	0	0.31841
GSM1561925	0.0268	0	0	0.05289	0.09247	0	0	0	0	0	0.15184	0	0.15697	0	0	0	0	0	0	0	0	0.51902
GSM1561926	0.00543	0.0255	0	0.01113	0.1536	0	0	0	0	0	0.12371	0	0.30434	0	0	0	0	0.01402	0	0	0	0.36228
GSM1561927	0	0	0.01445	0	0.0717	0	0	0	0	0.05148	0.03664	0	0.07724	0	0	0.04085	0.00456	0.01297	0	0	0	0.69011
GSM1561928	0	0.03305	0	0.09124	0.24345	0	0	0	0	0	0.10333	0	0.20143	0	0	0	0	0	0	0	0	0.3275
GSM1561929	0.00473	0	0	0.18682	0.04583	0	0	0	0	0	0.05981	0	0.22489	0.00681	0	0	0	0.01522	0	0	0	0.4559
GSM1561930	0.01503	0	0	0.19263	0.06344	0	0	0	0	0	0.10838	0	0.11843	0	0	0	0.0033	0	0	0	0	0.49878
GSM1561931	0.04059	0.00798	0.01203	0.10703	0.10852	0	0	0	0	0	0.07805	0	0.09264	0	0	0	0	0.00841	0	0	0	0.54474
GSM1561932	0.00416	0.04033	0.00187	0.05935	0.18665	0	0	0	0	0	0.0897	0	0.19986	0	0	0	0	0.0112	0	0	0	0.40688
GSM1561933	0.0173	0.00953	0	0.03398	0.11219	0	0	0	0	0	0.12485	0	0.19702	0.00198	0	0	0	0	0	0	0	0.50315
GSM1561934	0.05676	0	0.00127	0.04552	0.21091	0	0	0	0	0	0.04443	0	0.11815	0.02896	0	0	0	0	0	0	0	0.49399
GSM1561935	0.01794	0	0.00295	0.03143	0.13385	0	0	0	0	0.04345	0.04746	0	0.0967	0	0	0	0	0.01249	0	0	0	0.61373
GSM1561936	0.02775	0.00546	0.00439	0.09525	0.14889	0	0	0	0	0	0.06636	0	0.17395	0	0	0	0	0	0	0	0	0.47795
GSM1561937	0	0.03965	0.01428	0.05433	0.20872	0	0	0	0	0	0.09646	0	0.13684	0	0	0	0	0	0	0	0	0.44972
GSM1561938	0.02642	0.0186	1.00E-04	0.04572	0.16729	0	0	0	0	0	0.07455	0	0.15219	0.02765	0	0	0	0	0	0	0	0.48748
GSM1561939	0.02442	0.03657	0	0.08393	0.16606	0	0	0	0	0	0.13757	0	0.21964	0.03029	0	0	0	0	0	0	0	0.30152
GSM1561940	0.01044	0.00826	0	0.06744	0.16662	0	0	0	0	0	0.15717	0	0.19418	0	0	0	0	0	0	0	0	0.39588
GSM1561941	0	0	0	0.24025	0.03817	0	0	0	0	0	0.23695	0	0.19351	0	0	0	0	0	0	0	0	0.29111
GSM1561942	0.01602	0.02906	0	0	0.19304	0	0	0	0	0	0.25892	0	0.17051	0	0	0	0.00279	0	0	0	0	0.32966
GSM1561943	0.01812	0.02294	0	0.16972	0.11726	0	0	0	0	0	0.13689	0	0.10071	0	0	0	0	0	0	0	0	0.43435
GSM1561944	0.05009	0.00649	0	0.04571	0.15389	0	0	0	0	0	0.04749	0	0.25753	0	0	0	0	0.00378	0	0	0	0.43501
GSM1561945	0.00669	0.02138	0	0.10988	0.03844	0	0	0	0	0	0.09376	0	0.15037	0	0	0	0	0.00573	0	0	0	0.57374
GSM1561946	0.00914	0.01214	0	0.03769	0.24168	0	0	0	0	0	0.11497	0	0.14414	0	0	0	0	0	0	0	0	0.44024
GSM1561947	0.02451	0	0	0.06791	0.12473	0	0	0	0	0	0.09216	0	0.18234	0	0	0	0	0	0	0	0	0.50835
GSM1561948	0	0.01049	0	0.12966	0.18125	0	0	0	0	0	0.11644	0	0.17785	0	0	0	0	0	0	0	0	0.38431
GSM1561949	0.03563	0	0	0.04252	0.13738	0	0	0	0	0	0.10532	0	0.17107	0.01357	0	0	0	0.00705	0	0	0	0.48746
GSM1561950	0.06546	0	0	0	0.06931	0	0	0	0	0.04497	0.05927	0	0.21847	0	0	0	0	0	0	0	0	0.54251
GSM1561951	0.00841	0.03083	0	0.05971	0.16664	0	0	0	0	0	0.08668	0	0.13961	0	0	0	0	0	0	0	0	0.50811
GSM1561952	0.03617	0.0078	0	0.1078	0.18663	0	0	0	0	0	0.1733	0	0.12071	0	0	0	0.0022	0	0	0	0	0.36539
GSM1561953	0.02161	0.0294	0	0.00061	0.07759	0	0	0	0	0	0.12369	0	0.27695	0	0.01204	0	0	0.02904	0	0	0	0.42907
GSM1561954	0.05106	0	0	0.02311	0.07384	0	0	0	0	0	0.10701	0	0.19308	0.01879	0	0	0	0	0	0	0	0.53311
GSM1561955	0.04726	0	0.00568	0.0049	0.14655	0	0	0	0	0	0.10025	0	0.14816	0	0	0	0	0.01339	0	0	0	0.53381
GSM1561956	0.028	0.00211	0.00492	0	0.0967	0	0	0	0	0	0.08151	0	0.17655	0	0	0	0	0	0	0	0	0.61021
GSM1561957	0.01836	0.03329	0	0	0.1926	0	0	0	0	0	0.15135	0	0.17613	0	0	0	0	0	0	0	0	0.42827
GSM1561958	0	0.02922	0	0.05063	0.15	0	0	0	0	0	0.14723	0	0.2853	0.00566	0	0	0	0	0	0	0	0.33196
GSM1561959	0.0366	0	0	0.01937	0.12124	0	0	0	0	0	0.16423	0	0.17653	0	0	0	0	0.00088	0	0	0	0.48115
GSM1561960	0.05086	0.01687	0	0.07512	0.12817	0	0	0	0	0	0.12577	0	0.1287	0	0	0	0	0	0	0	0	0.47452
GSM1561961	0.02168	0.02107	0	0.01456	0.15455	0	0	0	0	0	0.11567	0	0.2209	0.00812	0	0	0	0.00075	0	0	0	0.4427
GSM1561962	0.0188	0.02322	0	0	0.12335	0	0	0	0	0	0.16492	0	0.20456	0	0	0	0	0	0	0	0	0.46515
GSM1561963	0.01764	0.02415	0.00183	0.1003	0.27132	0	0	0	0	0	0.18604	0	0.17775	0	0	0	0	0	0	0	0	0.22097
GSM1561964	0.03106	0.01471	0	0	0.08248	0	0	0	0	0	0.12342	0	0.39668	0	0	0	0	0.00913	0	0	0	0.34253
GSM1561965	0.03671	0	0.00359	0.08984	0.12822	0	0	0	0	0	0.14932	0	0.08462	0.02198	0	0	0	0	0	0	0	0.48571
GSM1561966	0	0.01556	0	0.02716	0.19615	0	0	0	0	0	0.24668	0	0.21572	0	0	0	0	0	0	0	0	0.29873
GSM1561967	0.01613	0.03394	0	0.06593	0.18612	0	0	0	0	0	0.09831	0	0.29651	0	0	0	0	0	0	0	0	0.30306
GSM1561968	0	0	0	0.42803	0	0	0	0	0	0	0.25941	0	0.15451	0	0	0	0	0	0	0	0	0.15806
GSM1561969	0.01333	0.03996	0	0.01177	0.17244	0	0	0	0	0	0.13255	0	0.36923	0	0	0	0	0.01681	0	0	0	0.2439
GSM1561970	0.03099	0	0	0	0.00665	0	0	0	0	0.08409	0.05691	0	0.15159	0.1949	0	0	0	0	0	0	0	0.47486
GSM1561971	0.03108	0.01282	0	0	0.07146	0	0	0	0	0	0.14169	0	0.41731	0	0	0	0	0.00908	0	0	0	0.31657
GSM1561972	0.0126	0	0	0.05355	0	0	0	0	0	0	0.08413	0	0.22363	0.10984	0	0	0	0	0	0	0	0.51626
GSM1561973	0.00125	0.02232	0	0.08943	0.03185	0	0	0	0	0	0.09308	0	0.27441	0.03678	0	0	0	0	0	0	0	0.45088
GSM1561974	0.0157	0.0258	0	0	0.02067	0	0	0	0	0.00273	0.08634	0	0.18067	0	0.00247	0	0	0.08778	0	0	0	0.57784
GSM1561975	0.04532	0	0	0.03305	0.09875	0	0	0	0	0.04143	0.03017	0	0.22009	0	0	0	0	0	0	0	0	0.53118
GSM1561976	0.0529	0	0	0.00752	0.11017	0	0	0	0	0.03068	0.03119	0	0.21461	0.06072	0	0	0	0	0	0	0	0.49221
GSM1561977	0.08666	0.00164	0	0	0.01936	0	0	0	0	0.0499	0.04332	0	0.13908	0	0.00296	0	0	0.07698	0	0	0	0.58012
GSM1561978	0	0.07284	0.01025	0.00548	0.2254	0	0	0	0	0	0.13333	0	0.14853	0	0	0	0	0	0	0	0	0.40417
GSM1561979	0.02776	0	0	0	0	0	0	0	0	0.09133	0.05589	0	0.20191	0	0	0	0	0.01374	0	0	0	0.60937
GSM1561980	0	0	0	0.10602	0.07489	0	0	0	0	0.00632	0.07734	0	0.16091	0	0	0	0	0.01031	0	0	0	0.56421
GSM1561981	0	0.05573	0	0	0.09736	0	0	0	0	0	0.10199	0	0.27854	0	0.00915	0	0	0.0506	0	0	0	0.40663
GSM1561982	0.03297	0.02416	0	0	0.07395	0	0	0	0	0.02058	0.00216	0	0.21956	0	0.01992	0	0	0.0772	0	0	0	0.52951
GSM1561983	0.03099	0	0	0.01306	0.1384	0	0	0	0	0.05953	0.04424	0	0.17775	0.06666	0	0	0	0	0	0	0	0.46937
GSM1561984	0.02164	0	0	0	0.04965	0	0	0	0	0.02905	0.02553	0	0.25734	0	0.02964	0	0	0.07842	0	0	0	0.50873
GSM1561985	0	0.00305	0.01375	0.01824	0.32764	0	0	0	0	0	0.14063	0	0.10498	0.00059	0	0	0	0.00992	0	0	0	0.3812
GSM1561986	0.01271	0	0	0	0.01561	0	0	0	0	0.05547	0.09321	0	0.25319	0.00022	0	0	0	0	0	0	0	0.5696
GSM1561987	0.03225	0	0.00038	0	0.1031	0	0	0	0	0	0.05989	0	0.17345	0	0	0	0	0	0	0	0	0.63094
GSM1561988	0.00632	0	0.00149	0	0	0	0	0	0	0.07774	0	0	0.14156	0.13862	0	0	0	0	0.00622	0	0	0.62805
GSM1561989	0.04862	0	0	0	0.1381	0	0	0	0	0.01204	0.02406	0	0.08631	0	0.00917	0	0	0.03282	0	0	0	0.64887
GSM1561990	0.05557	0.00472	0	0	0.08877	0	0	0	0	0.04593	0.0696	0	0.07838	0	0	0	0	0	0	0	0	0.65704
GSM1561991	0.00367	0.01995	0	0.03701	0.33048	0	0	0	0	0	0.17369	0	0.17419	0	0	0	0	0.00225	0	0	0	0.25876
GSM1561992	0.00975	0.05097	0	0	0.17406	0	0	0	0	0	0.16702	0	0.15046	0	0	0	0	0.0224	0	0	0	0.42535
GSM1561993	0.0029	0.03914	0	0.04248	0.10876	0	0	0	0	0	0.12224	0	0.26308	0	0	0	0	0.03151	0	0	0	0.38989
GSM1561994	0.01006	0.05359	0	0	0.01645	0	0	0	0	0.01287	0.03801	0	0.3402	0	0.03489	0	0	0.06858	0.01034	0	0	0.41501
GSM1561995	0.09236	0	0	0.06085	0.30309	0	0	0	0.00162	0	0.1038	0	0.16362	0	0	0	0	0.00674	0	0	0	0.26791
GSM1561996	1.00E-05	0.03271	0	0	0.19111	0	0	0	0	0	0.05861	0	0.18037	0	0.00419	0	0	0.04248	0	0	0	0.49053
GSM1561997	0.00988	0	0.03784	0	0.1538	0	0	0	0	0.02304	0.06315	0	0.21529	0	0	0	0	0.01969	0	0	0	0.4773
GSM1561998	0.02618	0	0	0	0.03003	0	0	0	0	0.09491	0.01299	0	0.20278	0	0.00237	0	0	0.02523	0	0	0	0.60551
GSM1561999	0.04393	0.00384	0	0	0.08174	0	0	0	0	0.0283	0.04286	0	0.19043	0	0	0	0	0.04391	0	0	0	0.56499
GSM1562000	0.01661	0.00358	0.00763	0	0.06874	0	0	0	0	0	0.12788	0	0.21146	0	0	0	0	0.0362	0	0	0	0.5279
GSM1562001	0.03485	0	0	0.05056	0.0636	0	0	0	0	0.00081	0.08922	0	0.27022	0	0	0	0	0.02987	0	0	0	0.46086
GSM1562002	0	0	0	0	0.08012	0	0	0	0	0	0.212	0	0.21348	0	0.00227	0	0	0.03973	0	0	0	0.45239
GSM1562003	0	0.02887	0	0.03551	0.2873	0	0	0	0	0	0.10184	0	0.21108	0	0.0027	0	0	0.0155	0	0	0	0.3172
GSM1562004	0.01683	0.004	0	0.17183	0.07318	0	0	0	0	0	0.21047	0	0.16732	0	0	0	0	0	0	0	0	0.35636
GSM1562005	0.01636	0	0	0	0	0	0	0	0	0.0315	0.03634	0	0.43255	0.09449	0	0	0	0	0.01674	0	0	0.37202
GSM1562006	0.03404	0.00552	0	0.04831	0.1746	0	0	0	0	0	0.08809	0	0.16258	0	0	0	0	0	0	0	0	0.48685
GSM1562007	0	0	0	0.21308	0.03997	0	0	0	0	0	0.11651	0	0.12199	0	0	0	0	0	0	0	0	0.50845
GSM1562008	0	0.01932	0	0.07007	0.11705	0	0	0	0	0	0.14396	0	0.29784	0	0.00185	0	0	0	0	0	0	0.3499
GSM1562009	0	0.01699	0	0	0.09744	0	0	0	0	0	0.14019	0	0.2101	0	0.0041	0	0	0.03518	0	0	0	0.496
GSM1562010	0.00561	0.01977	0	0.04609	0.13576	0	0	0	0	0	0.07127	0	0.32215	0.01856	0	0	0	0	0	0	0	0.38079
GSM1562011	0.0303	0.0098	0	0	0.07324	0	0	0	0	0.06329	0.01524	0	0.22804	0	0.00101	0	0	0.05214	0	0	0	0.52693
GSM1562012	0.01411	0	0.10099	0.01382	0.13834	0	0	0	0	0	0.09591	0	0.19494	0	0	0	0	0	0	0	0	0.44189
GSM1562013	0.03298	0	0	0.05708	0.11032	0	0	0	0	0	0.16985	0	0.08682	0	0	0	0	0	0	0	0	0.54296
GSM1562014	0.00584	0.01506	0.01777	0.01006	0.02983	0	0	0	0	0	0.1936	0	0.04824	0	0	0	0	0.02691	0	0	0	0.6527
GSM1562015	0.03539	0	0.00323	0	0.06079	0	0	0	0	0.04092	0.06544	0	0.03502	0.002	0	0.0117	0	0.01318	0	0	0	0.73234
GSM1562016	0	0.01374	0	0.17687	0.04044	0	0	0	0	0	0.23899	0	0.24528	0	0	0	0	0	0	0	0	0.28468
GSM1562017	0.00349	0.01995	0	0.1291	0.05265	0	0	0	0	0	0.13285	0	0.20224	0	0	0	0	0	0	0	0	0.45972
GSM1562018	0.02981	0	0	0	0	0	0	0	0	0.06018	0	0	0.16797	0.15642	0.00485	0	0	0	0	0	0	0.58076
GSM1562019	0	0.04263	0.00026	0.17865	0.18922	0	0	0	0	0	0.11076	0	0.09936	0	0	0	0	0	0	0	0	0.37912
GSM1562020	0	0.03215	0.01397	0.00607	0.11669	0	0	0	0	0	0.09589	0	0.12802	0	0	0	0	0	0	0	0	0.60722
GSM1562021	0	0.01022	0	0.13872	0.03176	0	0	0	0	0	0.06907	0	0.23414	0.00038	0	0	0	0	0	0	0	0.51571
GSM1562022	0.03725	0.02156	0	0.07929	0.13919	0	0	0	0	0	0.08344	0	0.12245	0	0	0	0	0	0	0	0	0.51682
GSM1562023	0	0.02842	0	0.01396	0.11486	0	0	0	0	0.02705	0.04118	0	0.16632	0	0.00578	0	0	0.03714	0	0	0	0.56529
GSM1562024	0	0.01982	0	0.01359	0.19554	0	0	0	0	0	0.05552	0	0.24409	0.00547	0	0	0	0	0	0	0	0.46598
GSM1562025	0	3.00E-04	0.0016	0.00634	0.04436	0	0	0	0	0.03606	0.03087	0	0.23844	0	0	0	0	0	0	0	0	0.64203
GSM1562026	0	0.04604	0	0.02033	0.08215	0	0	0	0	0	0.07565	0	0.16915	0.08315	0	0	0	0	0	0	0	0.52352
GSM1562027	0.03222	0.05056	0	0.04751	0.14095	0	0	0	0	0	0.11305	0	0.12594	0.01569	0	0	0	0	0	0	0	0.47408
GSM1562028	0	0	0	0.13937	0.10771	0	0	0	0	0	0.0726	0	0.24481	0.01784	0	0	0	0	0	0	0	0.41767
GSM1562029	0	0.04318	0	0.228	0	0	0	0	0	0	0.15354	0	0.2314	0.00402	0	0	0	0	0	0	0	0.33986
GSM1562030	0.02379	0	0	0	0.0227	0	0	0	0	0.05621	0.04523	0	0.16832	0.09259	0	0	0	0	0	0	0	0.59116
GSM1562031	0.00295	0.05541	0	0.00018	0.09185	0	0	0	0	0	0.05791	0	0.36986	0	0.00948	0	0	0.02649	0	0	0	0.38587
GSM1562032	0	0.02695	0.1631	0.12397	0.20932	0	0	0	0	0	0.17438	0	0.11788	0	0	0	0	0	0	0	0	0.18439
GSM1562033	0.00346	0.0246	0	0	0.00736	0	0	0	0	0.04134	0.00476	0	0.29733	0	0.02709	0	0	0.07254	0	0	0	0.52152
GSM1562034	0	0.00435	0.05106	0.07417	0.08221	0	0	0	0	0	0.14394	0	0.10805	0.08101	0	0	0	0.00733	0	0	0	0.44789
GSM1562035	0	0.04534	0	0	0.0738	0	0	0	0	0	0.10764	0	0.2163	0	0.02926	0	0	0.0822	0	0	0	0.44546
GSM1562036	0.02991	0	0	0	0.07519	0	0	0	0	0.04007	0.01901	0	0.19152	0.19164	0	0	0	0	0	0	0	0.45265
GSM1562037	0	0.0558	0	0	0.1313	0	0	0	0	0.00858	0.0662	0	0.16316	0	0.01354	0	0	0.05643	0	0	0	0.505
GSM1562038	0.00096	0	0	0.03613	0.03207	0	0	0	0	0	0.09024	0	0.2538	0.10127	0	0	0	0	0	0	0	0.48554
GSM1562039	0.02638	0	0	0	0.00832	0	0	0	0	0.08411	0.02707	0	0.1929	0.22916	0	0	0	0	0	0	0	0.43207
GSM1562040	0	0.03586	0	0.11073	0.24691	0	0	0	0	0	0.10965	0	0.2018	0	0	0	0	0	0	0	0	0.29504
GSM1562041	0	0.01754	0.00115	0.02315	0.15924	0	0	0	0	0	0.15916	0	0.15888	0.03025	0	0	0	0	0	0	0	0.45063
GSM1562042	0.02695	0.01697	0	0	0.03392	0	0	0	0	0.08839	0.00329	0	0.23658	0.10341	0	0	0	0	0	0	0	0.49048
GSM1562043	0	0.02909	0	0.02014	0.09893	0	0	0	0	0.01115	0.0598	0	0.06715	0.01862	0	0.03153	0	0	0	0	0	0.66359
GSM1562044	0.17963	0	0	0.03998	0.07022	0	0	0	0	0	0.15923	0	0.14915	0.04156	0	0	0	0	0	0	0	0.36023
GSM1562045	0	0	0.00158	0	0.07754	0	0	0	0	0.0308	0.03503	0	0.2969	0	0	0	0	0	0	0	0	0.55815
