GSM	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
GSM1633807	0	0	0	0	0	0	0	0	0	0.09097	0	0	0.2532	0	0	0	0	0	0	0	0	0.65583
GSM1633808	0	0	0.00288	0	0	0	0	0	0	0.08024	0	0	0.05376	0	0	0	0	0	0	0	0	0.86313
GSM1633809	0	0	0	0	0	0	0	0	0	0.09786	0.05387	0	0.36868	0	0	0	0	0	0.03554	0	0	0.44405
GSM1633810	0	0	0	0	0	0	0	0	0	0.12252	0.00503	0	0.22427	0	0	0	0	0.0041	0.02279	0	0	0.6213
GSM1633811	0	0	0	0	0	0	0	0	0	0.09685	0	0	0.177	0	0	0	0	0	0.00248	0	0	0.72367
GSM1633812	0	0	0	0	0	0	0	0	0	0.1364	0	0	0.30731	0	0	0	0	0	0.01852	0	0	0.53778
GSM1633813	0	0	0.01673	0	0.0136	0	0	0	0	0.08477	0	0	0.21813	0	0	0	0	0.02054	0	0	0	0.64623
GSM1633814	0.0296	0	0.00209	0	0.06331	0	0	0	0	0.04112	0	0	0.27434	0	0	0	0	0	0.0059	0	0	0.58364
GSM1633815	0.01702	0.01409	0	0	0	0	0	0	0	0.09289	0	0	0.00793	0	0.00601	0	0	0.02553	0.01701	0	0	0.81953
GSM1633816	0	0	0	0	0	0	0	0	0	0.07895	0	0	0.18479	0	0	0	0	0	0	0	0	0.73626
GSM1633817	0	0	0	0	0	0	0.02028	0	0	0.10758	0.08595	0	0.17033	0	0	0	0	0.00655	0.00929	0	0	0.60001
GSM1633818	0	0	0.00434	0	0	0	0	0	0	0.11687	0	0	0.07083	0	0	0	0	0	0	0	0	0.80796
GSM1633819	0.03874	0.00914	0.02028	0	0	0	0	0	0	0.19031	0.00301	0	0	0	0	0	0	0.00292	0	0	0	0.7356
GSM1633820	0.00342	0.05844	0.02305	0	0	0	0	0	0	0.10149	0	0	0.20363	0	0	0	0	0.01644	0.0059	0	0	0.58764
GSM1633821	0.02053	0	0	0	0	0	0	0	0	0.13491	0	0	0.16531	0	0	0	0	0	0.00242	0	0	0.67683
GSM1633822	0	0	0.00387	0	0	0	0	0	0	0.10008	0	0	0.07724	0	0	0	0	0	0.00834	0	0	0.81046
GSM1633823	0	0	0	0.01254	0.03477	0	0.10899	0	0	0.33492	0	0	0.0939	0	0	0	0	0.02474	0	0	0	0.39015
GSM1633824	0	0	0	0	0	0	0	0	0	0.10746	0.01338	0	0.30831	0	0	0	0	0	0.0414	0	0	0.52945
GSM1633825	0	0	0	0	0.023	0	0	0	0	0.11701	0	0	0.19926	0	0	0	0	0	0	0	0	0.66073
GSM1633826	0	0	0	0	0	0	0	0	0	0.09692	0	0	0.31289	0	0	0	0	0	0.01664	0	0	0.57355
GSM1633827	0	0	0.01183	0	0	0	0	0	0	0.14841	0	0	0.06589	0	0	0	0	0	0	0	0	0.77387
GSM1633828	0	0	0	0	0	0	0	0	0	0.15038	0	0	0.101	0	0	0	0	0	0	0	0	0.74862
GSM1633829	0	0	0	0	0	0	0	0	0	0.11702	0	0	0.00572	0	0	0	0	0	0	0	0	0.87725
GSM1633830	0	0	0.00959	0	0	0	0	0	0	0.08194	0	0	0.1684	0	0	0	0	0	0.00472	0	0	0.73536
GSM1633831	0	0	0	0	0	0	0	0	0	0.10301	0	0	0.07996	0	0	0	0	0	0	0	0	0.81703
GSM1633832	0	0	0	0	0	0	0	0	0	0.2498	0	0	0.25213	0.01132	0	0	0	0.01858	0.01976	0	0	0.4484
GSM1633833	0	0	0	0	0	0	0	0	0	0.09648	0	0	0.22807	0	0	0	0	0	0.00874	0	0	0.66671
GSM1633834	0	0	0	0	0	0	0	0	0	0.07917	0	0	0	0	0	0	0	0	0	0	0	0.92083
GSM1633835	0	0	0	0	0	0	0	0	0	0.14678	0	0	0.21141	0	0	0	0	0	0.01659	0	0	0.62522
GSM1633836	0	0	0.0104	0	0	0	0	0	0	0.19333	0	0	0.02439	0	0	0	0	0.00611	0	0	0	0.76578
GSM1633837	0	0	0	0	0	0	0	0	0	0.12389	0	0	0.17119	0	0	0	0	0	0	0	0	0.70492
GSM1633838	0.01075	0	0	0	0.00115	0	0	0	0	0.13364	0	0	0.04406	0	0	0	0	0.02053	0.02071	0	0	0.76916
GSM1633839	0	0	0.01391	0	0	0	0	0	0	0.17845	0	0	0.10459	0	0	0	0	0	0	0	0	0.70305
