GSM	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
GSM824743	0	0	0	0.00456	0	0	0.12899	0.32526	0	0	0	0	0	0	0.0793	0	0.04625	0.41564
GSM824744	0	0	0	0.00645	0	0	0.0284	0.47093	0.04259	0	0	0	0	0	0.02359	0.01827	0.01144	0.39831
GSM824745	0	0	0	0.01562	0	0	0.06323	0.33954	0	0	0.02567	0	0	0	0	0	0	0.55594
GSM824746	0	0	0	0.01732	0	0	0.04665	0.38451	0	0.004	0	0	0	0	0.08497	0	0.00098	0.46158
GSM824747	0	0	0	0	0	0	0.03049	0.14349	0.19812	0	0	0	0	0.21003	0	0.08191	0	0.33596
GSM824748	0	0	0	0	0	0	0.05741	0.11662	0.16068	0	0	0	0	0.23989	0	0.09647	0	0.32894
GSM824749	0	0	0	0	0	0	0.0816	0.08074	0.16605	0	0	0	0	0.2168	0.0108	0.0637	0.00343	0.37688
GSM824750	0	0	0	0	0	0	0.05338	0.14475	0.08925	0.00514	0	0	0	0.24247	0.07856	0	0.06972	0.31672
GSM824751	0	0	0	0	0	0	0.09383	0.03792	0.17008	0.00761	0	0	0	0.32407	0.02485	0.05954	0.03074	0.25135
GSM824752	0	0	0	0	0	0	0.04651	0.05083	0.24157	0	0	0	0	0.1879	0.04613	0.07091	0.00416	0.35199
GSM824753	0	0	0	0	0	0	0.05072	0.11655	0.06855	0.01057	0	0	0	0.19809	0.08687	0.04325	0.11797	0.30744
GSM824754	0	0	0	0	0	0	0.0932	0.09938	0.13136	0.00014	0	0	0	0.21384	0.02639	0.11771	0.05144	0.26654
GSM824755	0	0	0	0	0	0	0.0508	0.02787	0.1704	0.00262	0	0	0	0.2628	0.06048	0.08604	0	0.339
GSM824756	0	0	0	0	0	0	0.08015	0.12906	0.13626	0.00151	0	0	0	0.18464	0	0.0433	0	0.42507
GSM824757	0	0	0	0	0	0	0.04446	0.18649	0.06472	0.00203	0	0	0	0.18109	0.01931	0	0.03151	0.4704
GSM824758	0	0	0	0	0	0	0.03719	0.13951	0.11242	0	0	0	0	0.26196	0	0.06989	0.01272	0.36631
GSM824759	0	0	0	0	0	0	0.06879	0.17324	0.10348	0	0	0	0	0.19542	0.04381	0.05475	0.04924	0.31126
GSM824760	0	0	0	0	0	0	0.04095	0.18924	0.08669	0.00113	0	0	0	0.25882	0.08457	0.05751	0	0.28108
GSM824761	0	0	0	0	0	0.00014	0.04549	0.11402	0.11489	0.01646	0	0	0	0.27681	0	0.05585	0	0.37633
GSM824762	0	0	0	0	0	0	0.01395	0.33547	0.08672	0	0	0	0	0.17817	0.05955	0.06258	0	0.26356
GSM824763	0	0	0	0	0	0	0.08003	0.16693	0.12763	0	0	0	0	0.16172	0	0.08162	0	0.38209
GSM824764	0	0	0	0	0	0	0.11958	0.02404	0.21728	0.00674	0	0	0	0.2752	0	0.09036	0.00101	0.26577
GSM824765	0	0	0	0	0	0	0.06024	0.12068	0.1135	0.00731	0	0	0	0.20598	0.01823	0.01728	0.13055	0.32622
GSM824766	0	0	0	0	0	0	0.0565	0.24322	0.0905	0.00864	0	0	0	0.30958	0.01498	0.05134	0.02206	0.20318
GSM824767	0	0	0	0	0	0	0.05288	0.0623	0.28006	0	0	0	0	0.19086	0.06531	0.01715	0.04125	0.29018
GSM824768	0	0	0	0	0	0	0.06156	0.04747	0.07338	0	0	0	0	0.35445	0.0625	0.0122	0.02877	0.35968
GSM824769	0	0	0	0	0	0	0.12659	0.11092	0.01257	0	0	0	0	0.29977	0.10182	0	0.01953	0.32882
GSM824770	0	0	0	0	0	0	0.0289	0.13299	0.17771	0.00723	0	0	0	0.20742	0	0.10986	0.03455	0.30134
GSM824771	0	0	0	0	0	0	0.07349	0.03003	0.12575	0.00644	0	0.00361	0	0.38318	0.10961	0.04023	0.01757	0.21008
GSM824772	0	0	0	0	0	0	0.10473	0.1385	0.07734	0.00424	0	0	0	0.29264	0	0.10305	0.06164	0.21787
GSM824773	0	0	0	0	0	0	0.0532	0.02711	0.13991	0.00916	0	0	0	0.33038	0.11395	0	0.00806	0.31824
GSM824774	0	0	0	0	0	0	0.0489	0.0979	0.13433	0.00019	0	0	0	0.30316	0.06429	0.05993	0	0.29129
GSM824775	0	0	0	0	0	0	0.06188	0.06472	0.09823	0.00719	0	0	0	0.2999	0.06692	0	0.05994	0.34122
GSM824776	0	0	0	0	0	0	0.03584	0.10259	0.13588	0.00261	0	0	0	0.32041	0	0.07044	0	0.33223
GSM824777	0	0	0	0	0	0	0.019	0.28248	0.04677	0	0	0	0	0.1663	0	0.03095	0	0.4545
GSM824778	0	0	0	0	0	0	0.04862	0.05431	0.09928	0.01535	0	0	0	0.19532	0.07627	0.01972	0.10053	0.3906
GSM824779	0	0	0	0	0	0	0.10089	0.04398	0.09649	0.01124	0	0	0	0.26295	0.05903	0	0.05542	0.37001
GSM824780	0	0	0	0	0	0	0.14405	0.09074	0.03826	0.00022	0	0	0	0.13657	0.06504	0	0.07431	0.45082
GSM824781	0	0	0	0.00219	0	0	0.08497	0	0.10045	0.0021	0	0	0	0.2634	0.1225	0.02652	0.05957	0.33828
GSM824782	0	0	0	0	0	0	0.04003	0.18702	0.16845	0.01204	0	0	0	0.17107	0	0.10208	0	0.31931
GSM824783	0	0	0	0	0	0	0.08454	0.13613	0.10371	0.00455	0	0	0	0.36457	0.00864	0.01718	0.00864	0.27203
GSM824784	0	0	0	0	0	0	0.07112	0.05262	0.11865	0.00652	0	0	0	0.26693	0.02876	0.03161	0.05996	0.36382
GSM824785	0	0	0	0	0	0	0.09597	0.08397	0.14731	0	0.003	0	0	0.17273	0.04119	0	0.05092	0.4049
GSM824786	0	0	0	0	0	0	0.07476	0.08237	0.13288	0	0	0	0	0.28901	0	0.09632	0.04046	0.28421
GSM824787	0.00168	0	0	0	0	0	0.13388	0	0.14334	0.02324	0	0	0	0.36335	0	0.0065	0.06005	0.26796
GSM824788	0	0	0	0	0	0	0.04208	0.1921	0.14059	0.00396	0	0	0	0.19676	0	0.09605	0	0.32847
GSM824790	0	0	0	0	0	0	0.0279	0.25839	0.13665	0.00116	0	0	0	0.25117	0	0.08399	0	0.24073
GSM932374	0	0	0	0.01481	0	0	0.13804	0.39965	0	0	0	0	0	0.03681	0.03917	0	0.02155	0.34997
GSM932375	0	0	0	0.01796	0	0	0	0.51067	0	0.00999	0	0	0	0	0.02093	0.04469	0.00451	0.39125
GSM932376	0	0	0	0.0082	0	0	0.10319	0.35314	0	0	0	0	0	0.01957	0.13687	0	0.01531	0.36372
GSM932377	0	0	0	0.00166	0	0	0.03864	0.3202	0	0	0	0	0	0.04406	0.08916	0	0.04587	0.46042
GSM932378	0	0	0	0.03235	0	0	0.03992	0.34042	0	0	0	0	0	0	0.1194	0	0	0.46791
GSM932379	0.00061	0	0	0.00598	0	0	0.10054	0.29471	0	0	0	0	0	0.04362	0.08366	0	0.03468	0.4362
GSM932380	0	0	0	0.0096	0	0	0.11158	0.30154	0	0	0	0	0	0.03859	0.11391	0	0.02747	0.39732
GSM932381	0	0	0	0.01367	0	0	0.04227	0.21341	0	0.02602	0	0	0	0.08396	0.1151	0	0.00252	0.50304
GSM932382	0	0	0	0.00014	0	0	0.07762	0.31844	0	0	0	0	0	0.08318	0.03271	0	0.07496	0.41295
GSM932383	0	0	0	0.00555	0	0	0.05511	0.31111	0	0	0	0	0	0.12519	0.11688	0	0.01977	0.36639
GSM932384	0	0	0	0.00796	0	0	0.05846	0.24837	0	0	0	0	0	0.08707	0.08228	0	0.04665	0.46922
