GSM	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
GSM824743	0.00101	0	0	0	0	0	0	0	0	0.0798	0.03729	0	0.3445	0.11858	0	0	0	0	0	0	0	0.41883
GSM824744	0.02163	0	0	0	0	0	0	0	0	0.0767	0	0	0.25638	0.0547	0.00127	0	0	0.00343	0	0	0	0.58588
GSM824745	0.02415	0	0	0	0	0	0	0	0	0.04029	0	0	0.21988	0.04956	0.01503	0	0	0.044	0	0	0	0.60709
GSM824746	0.00813	0	0	0	0	0	0	0	0	0.04629	0.01867	0	0.19997	0.16528	0	0	0	0	0	0	0	0.56165
GSM824747	0.02458	0.01895	0.01427	0.01065	0.18913	0	0	0	0.02507	0	0.09419	0	0.17915	0	0	0	0	0	0	0	0	0.44401
GSM824748	0.07302	0	0.02445	0.09193	0.14664	0	0	0	0.03096	0	0.07047	0	0.14027	0	0	0	0	0	0	0	0	0.42225
GSM824749	0.02562	0.00318	0.0213	0.0214	0.19984	0	0	0	0.03447	0	0.09681	0	0.12647	0	0	0	0	0	0	0	0	0.4709
GSM824750	0.02132	0.00493	0.01457	0.05438	0.17078	0	0	0	0.0579	0	0.08879	0	0.23695	0	0	0	0	0	0	0	0	0.35038
GSM824751	0.05503	0.03983	0.01782	0.0497	0.23859	0	0	0	0.03473	0	0.10719	0	0.15499	0	0	0	0	0	0	0	0	0.30213
GSM824752	0.01855	0.00569	0.01551	0.03061	0.15397	0	0	0	0.0419	0	0.1102	0	0.18688	0	0	0	0	0	0	0	0	0.4367
GSM824753	0.0354	0.00501	0.0144	0.04844	0.16582	0	0	0	0	0	0.2025	0	0.19868	0.00467	0	0	0	0	0	0	0	0.3251
GSM824754	0	0.01783	0.02183	0.07012	0.16581	0	0	0	0.04467	0	0.16929	0	0.17158	0	0	0	0	0	0	0	0	0.33888
GSM824755	0.01266	0.01706	0.01452	0.11385	0.1425	0	0	0	0.06303	0	0.08002	0	0.16842	0	0	0	0	0	0	0	0	0.38794
GSM824756	0.02287	0	0.02015	0.01442	0.16769	0	0	0	0.02452	0	0.05991	0	0.18115	0	0	0	0	0	0	0	0	0.50929
GSM824757	0.02225	0	0.00401	0.01721	0.14056	0	0	0	0.00048	0	0.05325	0	0.22534	0.04821	0	0	0	0	0	0	0	0.4887
GSM824758	0	0	0.02097	0.00612	0.2327	0	0	0	0.03422	0	0.10097	0	0.18363	0	0	0	0	0	0	0	0	0.42139
GSM824759	0.00893	0	0.02098	0.00873	0.21715	0	0	0	0	0	0.13396	0	0.21482	0	0	0	0	0	0	0	0	0.39543
GSM824760	0.0272	0.01057	0.03364	0.12057	0.18072	0	0	0	0.03281	0	0.05583	0	0.15986	0	0	0	0	0	0	0	0	0.37879
GSM824761	0	0.01877	0.02057	0.03766	0.20318	0	0	0	0.01327	0	0.0549	0	0.13235	0.0562	0	0	0	0	0	0	0	0.4631
GSM824762	0.03504	0	0.01182	0.03054	0.16519	0	0	0	0.0376	0	0.07942	0	0.27228	0	0	0	0	0	0	0	0	0.36812
GSM824763	0.02812	0	0.01498	0.01406	0.17132	0	0	0	0.0121	0	0.09647	0	0.15914	0	0	0	0	0	0	0	0	0.50381
GSM824764	0.00342	0.02399	0.02268	0.06044	0.23267	0	0	0	0.03237	0	0.10754	0	0.16386	0	0	0	0	0	0	0	0	0.35303
GSM824765	0.02324	3.00E-04	0.01006	0	0.16496	0	0	0	0.01465	0	0.17177	0	0.26206	0.01592	0	0	0	0	0	0	0	0.33705
GSM824766	0.02631	0	0.03365	0.0372	0.24551	0	0	0	0.03401	0	0.08044	0	0.261	0	0	0	0	0	0	0	0	0.28186
GSM824767	0.02248	0	0.01149	0.019	0.13272	0	0	0	0.04858	0	0.11531	0	0.36165	0	0	0	0	0	0	0	0	0.28875
GSM824768	0.01545	0.00743	0.01989	0.06464	0.28862	0	0	0	0.01402	0	0.07168	0	0.12891	0	0	0	0	0	0	0	0	0.38936
GSM824769	0.0365	0	0.02257	0.07176	0.28081	0	0	0	0.0229	0	0.0574	0	0.14987	0	0	0	0	0	0	0	0	0.35819
GSM824770	0.03675	0.00918	0.01838	0	0.18189	0	0	0	0.03121	0	0.14903	0	0.20509	0	0	0	0	0	0	0	0	0.36847
GSM824771	0.03771	0.00883	0.01751	0.09104	0.29396	0	0	0	0.05958	0	0.09597	0	0.13773	0	0	0	0	0	0	0	0	0.25767
GSM824772	0.01667	0.04483	0.02107	0.03094	0.25491	0	0	0	0.03155	0	0.1587	0	0.14452	0	0	0	0	0	0	0	0	0.29682
GSM824773	0.07868	0	0.01792	0.07375	0.22013	0	0	0	0.06513	0	0.04551	0	0.19156	0	0	0	0	0	0	0	0	0.30732
GSM824774	0	0.00285	0.02978	0.05486	0.25906	0	0	0	0.02845	0	0.08783	0	0.15989	0	0	0	0	0	0	0	0	0.37729
GSM824775	0.00237	0.01671	0.01658	0.02906	0.24494	0	0	0	0.04943	0	0.10401	0	0.17703	0.00106	0	0	0	0	0	0	0	0.3588
GSM824776	0.03401	0.00152	0.01273	0.03152	0.2398	0	0	0	0.03091	0	0.07005	0	0.17928	0	0	0	0	0	0	0	0	0.40018
GSM824777	0.02741	0	0.01531	0	0.18118	0	0	0	0.00231	0	0.04667	0	0.15533	0	0	0	0	0	0	0	0	0.57179
GSM824778	0.00025	0.01916	0.01664	0.02708	0.15511	0	0	0	0.01268	0	0.14824	0	0.18042	0	0	0	0	0	0	0	0.02591	0.41452
GSM824779	0.02543	0.01165	0.01658	0.05165	0.21097	0	0	0	0.01654	0	0.07564	0	0.17393	0	0	0	0	0	0	0	0	0.4176
GSM824780	0.04447	0	0.01129	0.09517	0.06998	0	0	0	0.01499	0	0.08358	0	0.15596	0	0	0	0	0	0	0	0	0.52456
GSM824781	0.02603	0	0.01635	0.15789	0.15386	0	0	0	0.05189	0	0.10068	0	0.12623	0	0	0	0	0	0	0	0	0.36707
GSM824782	0.02241	0.00138	0.02049	0	0.16996	0	0	0	0.04376	0	0.10641	0	0.17488	0.01322	0	0	0	0	0	0	0	0.44748
GSM824783	0.01186	0.01802	0.01617	0.03934	0.3078	0	0	0	0.02358	0	0.04048	0	0.20618	0.00411	0	0	0	0	0	0	0	0.33245
GSM824784	0.02843	0	0.01702	0.00514	0.24963	0	0	0	0.00212	0	0.12067	0	0.17047	0	0	0	0	0	0	0	0	0.4065
GSM824785	0.03531	0	0.023	0.05974	0.10478	0	0	0	0.02514	0	0.06941	0	0.25967	0	0	0	0	0.00579	0	0	0	0.41716
GSM824786	0.00586	0.02677	0.01905	0.02252	0.23332	0	0	0	0.05193	0	0.129	0	0.16153	0	0	0	0	0	0	0	0	0.35003
GSM824787	0.00028	0.04433	0.02539	0.01734	0.28535	0	0	0	0.04278	0	0.07772	0	0.20504	0	0	0	0	0	0	0	0	0.30177
GSM824788	0	0.01707	0.02349	0.04109	0.15744	0	0	0	0.02867	0	0.08919	0	0.22895	0.00774	0	0	0	0	0	0	0	0.40637
GSM824790	0.00815	0.01284	0.0176	0.03799	0.21477	0	0	0	0.04316	0	0.0615	0	0.23785	0	0	0	0	0	0	0	0	0.36613
GSM932374	0.03615	0	0	0	0.01774	0	0	0	0	0.07648	0.02796	0	0.0888	0.07325	0.00025	0	0	0	0	0	0	0.67938
GSM932375	0.00148	0	0	0	0	0	0	0	0	0.05944	0.03528	0	0.20559	0.20316	0	0	0	0	0	0.02181	0	0.47324
GSM932376	0	0	0.00099	0.04074	0.0353	0	0	0	0	0.0927	0.01475	0	0.25784	0	0	0.0043	0	0	0	0	0	0.55338
GSM932377	0	0	0.00455	0	0.02904	0	0	0	0	0.05308	0.02763	0	0.26877	0.02938	0	0	0	0	0	0	0	0.58755
GSM932378	0	0	0.00195	0	0.00982	0	0	0	0.00418	0.00552	0.06768	0	0.15509	0.04294	0	0.03718	0	0.02339	0.05125	0	0	0.601
GSM932379	0	0	0	0	0.03001	0	0	0	0	0.07601	0.01846	0	0.27275	0	0	0.01513	0	0	0	0	0	0.58765
GSM932380	0	0	0.00331	0	0.05576	0	0	0	0	0.01093	0.06491	0	0.29145	0.08127	0	0	0	0	0	0	0	0.49237
GSM932381	0.00916	0.00727	0.00332	0	0.10219	0	0	0	0	0.0358	0.03995	0	0.11003	0.17663	0	0	0	0	0	0	0	0.51565
GSM932382	0	0	0.00188	0	0.0902	0	0	0	0	0.02528	0.06464	0	0.24162	0.00912	0	0	0	0	0	0	0	0.56725
GSM932383	0.00781	0	0.01533	0.02109	0.15388	0	0	0	0	0.01609	0.04026	0	0.16725	0	0	0.01078	0	0	0	0	0	0.56751
GSM932384	0.01606	0.02362	0.00066	0	0.07112	0	0	0	0	0.0739	0.01792	0	0.09404	0.01363	0	0.0266	0	0.00479	0	0	0	0.65765
