ds	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
169722_DO011139052DR_5388500002_G	0.00286	0	0.01136	0.00325	0	0	0.03588	0.20676	0	0.05938	0	0	0	0.03012	0.01446	0	0.18513	0.45082
169972_DO011140672DR_5388500002_H	0.00354	0	0.00067	0.00658	0	0	0.0215	0.25742	0	0.03529	0	0	0	0.02699	0.11226	0	0.11405	0.4217
169692_DO011133166DR_5388500002_I	0.00265	0	0.0144	0.00806	0	0	0.04454	0.2712	0	0.0059	0	0	0	0.01159	0.08494	0	0.10736	0.44936
169959_DO011140492DR_5388500002_J	0.00083	0	0.00247	0.00271	0	0	0.00633	0.29212	0	0.0438	0	0	0	0	0.18957	0	0.12864	0.33353
169768_DO011139421DR_5388500002_K	0.05219	0.06567	0.01312	0.04538	0	0	0.02058	0.11407	0	0	0	0	0	0	0.33785	0	0	0.35114
128115_GC008233485DR_5388500002_L	0	0.05406	0.38168	0.11851	0.04349	0.02318	0.03507	0	0.02905	0.03844	0	0.00875	0	0.01554	0.15189	0.01003	0.0171	0.07322
169892_DO01114230XDR_5388500003_A	0	0	0.01498	0.01867	0	0	0.07403	0.25073	0	0.03245	0	0	0	0	0.13837	0	0.16694	0.30383
170192_DO011143345DR_5388500003_B	0	0	0.02812	0.0232	0	0	0.10366	0.1552	0	0	0	0	0	0.03339	0.26707	0	0.08852	0.30085
169770_DO01113944XDR_5388500003_C	0	0.01541	0.03135	0.0053	0.00112	0.17847	0.03336	0	0	0.04205	0	0	0	0.20182	0	0	0.18484	0.30628
169765_DO011139387DR_5388500003_D	0.00365	0	0.00623	0.01376	0	0	0.0625	0.27485	0	0.00202	0	0	0	0	0.17017	0	0.10933	0.35749
170378_DO01114032XDR_5388500003_E	0.00288	0	0.00807	0.00847	0	0	0.04718	0.22369	0	0.04667	0	0	0	0.00057	0.09633	0	0.1262	0.43994
170241_DO011145451DR_5388500003_F	0.0032	0	0.00861	0.01116	0.00288	0	0.0494	0.25526	0	0	0	0	0	0.06347	0.23233	0	0.09039	0.28331
169720_DO011139016DR_5388500003_G	0	0	0.00558	0.00492	0	0	0.02696	0.28994	0	0.0464	0	0	0	0.04244	0.15387	0	0.11997	0.30992
169969_DO011140618DR_5388500003_H	0	0	0.02843	0.00678	0	0	0.06076	0.22385	0	0.05744	0	0	0	0.03796	0.03613	0	0.10182	0.44684
169691_DO011133148DR_5388500003_I	0	0	0	0.00555	0	0.0202	0	0.31414	0	0.00493	0	0	0	0.00783	0.13638	0	0.08594	0.42502
169983_DO011140717DR_5388500003_J	0.00549	0	0	0.0209	0	0	0.01105	0.36513	0	0.03713	0	0	0	0	0.12067	0	0.11494	0.32469
169930_DO01114320XDR_5388500003_K	0.00614	0	0	0.00483	0	0	0	0.31333	0	0.04806	0	0	0	0	0.17187	0	0.14916	0.30662
128115_GC008233485DR_5388500003_L	0	0.08171	0.31388	0.12879	0.05159	0.01781	0.03922	0	0.02493	0.04791	0	0.00291	0	0.01442	0.18121	0.00381	0.01334	0.07848
169893_DO011142328DR_5388500004_A	6.00E-05	0	0.00975	0.01643	0	0	0.03325	0.29007	0	0.03469	0.0086	0	0	0.02604	0.08538	0	0.11634	0.37939
170189_DO011143282DR_5388500004_B	0	0	0.00585	0.01799	0	0	0.03646	0.23859	0	0	0	0	0	0.12354	0.22132	0	0.07357	0.28268
170376_DO011140285DR_5388500004_C	0	0	0.04098	0.00825	0	0	0	0.24005	0	0.03137	0	0	0	0.00192	0.23374	0	0.09254	0.35115
170372_DO011140202DR_5388500004_D	0	0	0.04927	0.01178	0	0	0	0.27176	0	0.01185	0.03657	0	0	0.04984	0.11706	0	0.08407	0.36781
170437_DO011145271DR_5388500004_E	0.00046	0	0.01187	0.01078	0	0	0.09426	0.22937	0	0.03098	0	0	0	0.05054	0.12086	0	0.11967	0.33121
170432_DO011145190DR_5388500004_F	0.00204	0	0.0158	0.01071	0	0	0.14267	0.22082	0	0.00628	0	0	0	0.03577	0.11518	0	0.12767	0.32306
169717_DO011138955DR_5388500004_G	0.00158	0	0.00285	0.00744	0.00284	0	0.04813	0.18961	1.00E-04	0.04546	0	0	0	0.03726	0.14858	0	0.21811	0.29803
169967_DO011140573DR_5388500004_H	0.00148	0	0.00958	0.0132	0	0	0.04437	0.23617	0	0.0424	0	0	0	0.0274	0.07988	0	0.0962	0.44932
169719_DO011138991DR_5388500004_I	0.00106	0	0.01172	0.01247	0	0	0.00515	0.31191	0	0.01253	0	0	0	0.04003	0.20144	0	0.07455	0.32915
169928_DO011143165DR_5388500004_J	0	0	0.02046	0.00053	0.00741	0	0	0.39286	0	0.08473	0	0	0	0.04538	0.0793	0	0.14882	0.22051
169968_DO011140591DR_5388500004_K	0	0	0.02301	0.01695	0	0	3.00E-04	0.42576	0	0.01043	0	0	0	0	0.22062	0	0.06595	0.23698
128115_GC008233485DR_5388500004_L	0	0.07789	0.32682	0.12895	0.04933	0.02026	0.03245	0	0.02766	0.04138	0	0.00964	0.00015	0.02281	0.15445	0.01602	0.01706	0.07512
170433_DO011142508DR_5388500006_A	0.00546	0	0.00023	0.01184	0.00013	0	0.08893	0.29171	0	0	0	0	0	0	0.17766	0.0041	0.11482	0.30511
169921_DO01114302XDR_5388500006_B	0.00197	0	0.00105	0.01151	0.00377	0	0.03326	0.2941	0	0	0.01525	0	0	0	0.2868	0.0397	0.12114	0.19146
169694_DO011133200DR_5388500006_C	0.00207	0	0.00078	0.01381	0	0	0.07032	0.24178	0	0.04795	0	0	0	0.0218	0.05831	0	0.12292	0.42026
169792_DO011139594DR_5388500006_D	0.00016	0	0.0049	0.01199	0	0	0.04322	0.26203	0	0.05907	0	0	0	0.02402	0.15751	0	0.07397	0.36314
170235_DO011139954DR_5388500006_E	0.00202	0	0.00513	0.01067	0	0	0.07678	0.194	0	0.05258	0	0	0	0.05047	0.11564	0	0.11877	0.37393
169853_DO011142166DR_5388500006_F	0.00137	0	0.00406	0.01713	0.00375	0	0.03557	0.25619	0	0	7.00E-05	0	0	0.06505	0.27389	0.04173	0.11864	0.18254
169923_DO011143066DR_5388500006_G	0.00187	0	0	0.02114	0.00189	0	0.03465	0.25479	0	0	0	0	0	0.0538	0.3199	0.00448	0.095	0.21248
170371_DO011140186DR_5388500006_H	0.00193	0	0.00181	0.00799	0	0	0.01031	0.15078	0	0	0	0	0	0.01156	0.30587	0.07384	0.19891	0.237
170197_DO011145334DR_5388500006_I	0	0	0	0.00923	0.00134	0.00607	0.02399	0.12367	0	0	0	0	0	0.03878	0.31689	0.04271	0.17401	0.26331
169936_DO011140438DR_5388500006_J	0.00065	0	0.00616	0.01602	0.00335	0.00064	0.06283	0.20875	0	0.00905	0	0	0	0.06387	0.18619	0	0.09622	0.34627
169718_DO011138973DR_5388500006_K	0.00271	0	0.00465	0.00736	0	0	0.07047	0.21273	0	0.03882	0	0	0	0.02144	0.10969	0	0.13538	0.39676
128115_GC008233485DR_5388500006_L	0	0.0752	0.29013	0.12217	0.0653	0.01837	0.03502	0	0.04258	0.04646	0	0	0	0.02541	0.18771	0.01537	0	0.07626
169926_DO011143129DR_5388500007_A	0.00306	0	0.0035	0.00978	0	0	0.08873	0.19827	0	0.04627	0	0	0	0.02416	0.07056	0	0.08483	0.47085
169922_DO011143048DR_5388500007_B	0.00349	0	0.00924	0.01411	0	0	0.06082	0.23214	0	0.04808	0	0	0	0.02243	0.09403	0	0.09246	0.4232
169728_DO011139340DR_5388500007_C	0	0	0.04024	0.00696	0	0	0.05993	0.2348	0	0.02384	0	0	0	0.04509	0.17161	0	0.10896	0.30857
169771_DO011139468DR_5388500007_D	0	0	0.01522	0.01605	0	0	0.04074	0.32433	0	0.03372	0	0	0	0	0.21765	0	0.10632	0.24597
169929_DO011143183DR_5388500007_E	0.00783	0.05775	0	0.03165	0	0	0	0.30582	0	0	0	0	0	0	0.19724	0	0.09032	0.30939
170373_DO011140220DR_5388500007_F	0	0	0.00895	0.0056	0.00249	0.00835	0.08293	0.15102	0	0.02049	0.02911	0	0	0.04369	0.1661	0	0.11494	0.36635
170434_DO011145217DR_5388500007_G	0.00673	0	0.00611	0.01516	0	1.00E-04	0.06603	0.24896	0	0.00878	0	0	0	0.05746	0.11742	0	0.10266	0.37059
170431_DO011145235DR_5388500007_H	0.00481	0	0.00418	0.01186	0	0.00016	0.02508	0.28747	0	0	0	0	0	0.15112	0.18055	0	0.06361	0.27116
169695_DO011133229DR_5388500007_I	0	0.0653	0.0683	0.02216	0	0.01586	0.04937	0.11791	0	0	0	0	0	0.06029	0.12465	0	0.12899	0.34716
169963_DO011140537DR_5388500007_J	0.00608	0	0.00257	0.00723	0	0	0.04893	0.1832	0	0.04365	0	0	0	0.07375	0.05089	0	0.146	0.4377
169721_DO011139034DR_5388500007_K	0.00088	0	0.01729	0.01062	0	0.00282	0.04013	0.2233	0	0.06785	0	0	0	0.01773	0.11397	0	0.10945	0.39595
128115_GC008233485DR_5388500007_L	0	0.08859	0.31536	0.12445	0.05838	0.01139	0.04023	0	0.02637	0.0395	0	0.00943	0	0.0198	0.16073	0.01114	0.01735	0.07729
169894_DO011142346DR_5388500008_A	0.00124	0	0.00174	0.00642	0	0	0.05711	0.22776	0	0	0.0038	0	0	0	0.15571	0.00673	0.21177	0.32774
169932_DO011143246DR_5388500008_B	0.00131	0	0	0.0106	0	0	0.06901	0.14661	0	0.00157	0	0	0	0	0.26071	0.06646	0.18546	0.25827
169774_DO011139511DR_5388500008_C	0.00545	0	0.00362	0.00499	0	0	0.02467	0.31879	0	0.05795	0	0	0	0.02147	0.06753	0	0.12016	0.37538
169831_DO011139792DR_5388500008_D	0.00311	0	0.00818	0.01185	0	0	0.05747	0.20754	0	0.02141	0	0	0	0.00975	0.15904	0	0.16425	0.35741
169899_DO011142427DR_5388500008_E	0.00913	0	0	0.00544	0	0	0.10983	0.26715	0	0.02322	0	0	0	0	0.11955	0	0.12671	0.33896
170196_DO011145316DR_5388500008_F	0.00431	0	0.00113	0.00723	0	0	0.04524	0.27804	0	0.03116	0	0	0	0	0.16574	0	0.11138	0.35576
170436_DO011145253DR_5388500008_G	0.00584	0	0.00473	0.01761	0	0	0.07423	0.21805	0	0.0334	0	0	0	0.06367	0.18652	0	0.07722	0.31873
170429_DO011145154DR_5388500008_H	0.00464	0	0.00318	0.01562	0.00096	0	0.0557	0.22592	0	0	0	0	0	0.10652	0.2242	0	0.06531	0.29794
169696_DO011133247DR_5388500008_I	0.002	0	0	9.00E-05	0.00694	0	0.04008	0.16061	0	0.01302	0	0	0	0.24254	0.22442	0	0.10521	0.20509
169982_DO011140690DR_5388500008_J	0.00109	0	0.01055	0.01631	0	0	0.06032	0.18019	0	0	0	0	0	0.04952	0.24667	0	0.08078	0.35458
169723_DO011139070DR_5388500008_K	0.00019	0	0.01206	0.01007	0.00177	0	0.03642	0.27894	0	0	0.01003	0	0	0.07055	0.25916	0.0035	0.10009	0.21721
128115_GC008233485DR_5388500008_L	0	0.08498	0.31126	0.12344	0.05754	0.01554	0.03638	0	0.03132	0.04169	0	0.00425	0	0.02228	0.17213	0.01728	0.00656	0.07534
169925_DO011143100DR_5388500009_A	0.00642	0	0.0126	0.00355	0	0	0.11809	0.17509	0	0.04427	0	0	0	0.02362	0.03407	0	0.1547	0.42759
169896_DO011142364DR_5388500009_B	0.00274	0	0.00371	0.01288	0	0	0.06937	0.27596	0	0.0132	0	0	0	0	0.14088	0	0.13596	0.34531
169794_DO011139639DR_5388500009_C	0.00421	0	0.009	0.00738	0	0	0.01408	0.28504	0	0.04329	0	0	0	0.03742	0.11309	0	0.14634	0.34015
170240_DO011139972DR_5388500009_D	0.0021	0	0.00682	0.01306	0	0	0.04291	0.26548	0	0.02231	0	0	0	0.08598	0.12329	0	0.14732	0.29074
169913_DO011142445DR_5388500009_E	0.004	0	0.00319	0.00496	0	0.00174	0.06527	0.17382	0	0.0194	0	0	0	0.05493	0.12256	0.02445	0.19546	0.33021
170194_DO011143381DR_5388500009_F	0.00087	0	0.00801	0.01133	0.00167	0	0.06327	0.22971	0	0	0	0	0	0.04133	0.18454	0.02335	0.16508	0.27085
170379_DO011140348DR_5388500009_G	0	0	0.01529	0	0	0.00347	0.02295	0.21512	0	0	0.06488	0	0	0	0.18276	0	0.10915	0.38639
170430_DO011145172DR_5388500009_H	0.00066	0	0.01064	0.00784	0	0	0.04594	0.25767	0	0.02125	0	0	0	0.04673	0.17166	0	0.11077	0.32685
169697_DO011133265DR_5388500009_I	0	0	0.0052	0.00865	0.00129	0.00395	0.05666	0.33321	0	0.00079	0	0	0	0.01565	0.1321	0	0.14015	0.30236
169935_DO01114041XDR_5388500009_J	0.00155	0	0.00933	0.01451	0	0	0.04899	0.20962	0	0	0	0	0	0.16845	0.13642	0	0.12876	0.28238
169934_DO011140393DR_5388500009_K	0.00122	0	0.00883	0.01202	0.00552	0.00065	0.04121	0.17949	0	0	0	0	0	0.07824	0.20714	0.01699	0.18584	0.26284
128115_GC008233485DR_5388500009_L	0	0.06054	0.349	0.12288	0.05343	0.02314	0.03002	0	0.03029	0.04353	0	0.0012	0	0.02963	0.16238	0.00953	0.01119	0.07323
169897_DO011142382DR_5388500010_A	0.00235	0	0.00736	0.01265	0	0	0.08739	0.19421	0	0.01278	0	0	0	0.02791	0.19095	0.01032	0.1761	0.27798
170239_DO011145433DR_5388500010_B	0.00144	0	0.00267	0.01387	0	0	0.02326	0.20826	0	0	0	0	0	0.10724	0.31113	0	0.07841	0.25372
169791_DO011139576DR_5388500010_C	0	0	0.00724	0.00818	0	0	0.03287	0.32337	0	0.07423	0	0	0	0.02467	0.16046	0	0.08722	0.28178
169775_DO01113953XDR_5388500010_D	0	0	0.00858	0.00809	0	0	0.04828	0.24916	0	0.04944	0	0	0	0.01028	0.12279	0	0.10909	0.39431
169914_DO011142463DR_5388500010_E	0	0	0.00517	0.0049	0	0	0.05409	0.2063	0	0.06011	0	0	0	0.05946	0.13419	0	0.14047	0.3353
170191_DO011143327DR_5388500010_F	0	0	0.00612	0.01672	0	0.00228	0.05336	0.20475	0	0.0411	0	0	0	0.03115	0.16255	0	0.1254	0.35657
170374_DO011140249DR_5388500010_G	0	0.05209	0.00386	0.03656	0.08214	0	0.03778	0.1427	0	0	0	0	0	0.02719	0.12924	0	0.09979	0.38865
170377_DO011140301DR_5388500010_H	0.00348	0	0.00471	0.00751	0	0	0	0.2088	0	0.08684	0	0	0	0.0775	0.00576	0	0.15147	0.45392
169698_DO011133283DR_5388500010_I	0	0	0.0017	0.00684	0.00218	8.00E-04	0.01897	0.29148	0	0.061	0	0	0	0.10429	0.04468	0	0.09596	0.37211
169987_DO011140771DR_5388500010_J	0	0	0.00368	0.01454	0.00295	0.00367	0.07199	0.26333	0	0.00048	0	0	0	0.15176	0.13429	0	0.05786	0.29544
169985_DO011140753DR_5388500010_K	0	0	0.00744	0.0102	0	0	0.04025	0.22239	0	0.06689	0	0	0	0.01299	0.12191	0	0.16715	0.35077
128115_GC008233485DR_5388500010_L	0	0.08546	0.31338	0.11952	0.05632	0.01318	0.0334	0	0.02808	0.03819	0	0.0083	0	0.02244	0.18338	0.00648	0.01178	0.08009
169898_DO011142409DR_5388500011_A	0.00196	0	0.00303	0.00412	0	0.00015	0.02231	0.24615	0	0.05567	0	0	0	0.03077	0.07952	0	0.13543	0.42088
170244_DO011145514DR_5388500011_B	6.00E-04	0	0.00225	0.01285	0	0	0.03781	0.16858	0	0.0158	0	0	0	0.08767	0.28601	0.0324	0.1313	0.22473
170370_DO011140168DR_5388500011_C	0.00407	0	0.00429	0.01133	0	0	0.02569	0.27184	0	0.00782	0	0	0	0.08	0.10639	0	0.10108	0.38748
170369_DO01114014XDR_5388500011_D	0.00371	0	0	0.01294	0	0	0.03335	0.24897	0	0.02496	0	0	0	0.05169	0.1117	0	0.09179	0.42089
169915_DO011142481DR_5388500011_E	0.00177	0	0.00371	0.01104	0	0	0.00892	0.22177	0	0.0538	0	0	0	0.03438	0.19142	0	0.09078	0.38241
170238_DO011145415DR_5388500011_F	0	0	0.00129	0.0119	0	0	0.02547	0.17316	0	0.07431	0	0	0	0.01327	0.15342	0	0.12215	0.42502
169699_DO01113330XDR_5388500011_G	0	0	0.00272	0.013	0.00843	0.00531	0.08089	0.22271	0	0.03536	0	0	0	0.06799	0.07567	0	0.14629	0.34162
169965_DO011140555DR_5388500011_H	0.00238	0	0.00749	0.00953	0	3.00E-04	0.06938	0.22995	0	0.06435	0	0	0	0.02058	0.09158	0	0.13215	0.37233
169724_DO011139099DR_5388500011_I	0.00083	0	0.00767	0.01813	0.00293	0.00675	0.08259	0.28073	0	0	0	0	0	0.071	0.1678	0	0.08977	0.2718
169956_DO011140456DR_5388500011_J	0	0	0.05793	0.01451	0	0	0.06025	0.24307	0	0.02509	0	0	0	0.01032	0.10061	0	0.13663	0.35159
169832_DO011139819DR_5388500011_K	0	0	0.02649	0.00622	0.00047	0	0.02826	0.27137	0	0	0	0	0.0451	0.1101	0.10297	0	0.07774	0.33129
128115_GC008233485DR_5388500011_L	0	0.0589	0.36953	0.11445	0.05585	0.01639	0.02667	0	0.01674	0.0313	0	0.01591	0	0.02318	0.16523	0.0117	0.00644	0.08771
169887_DO011142200DR_5388500012_A	0.00587	0	0	0.01492	0	0	0.04307	0.2351	0	0.04617	0	0	0	0.05286	0.0363	0	0.1286	0.43711
170193_DO011143363DR_5388500012_B	0.00082	0	0.00939	0.01839	0	0	0.07757	0.25827	0	0.01751	0	0	0	0.03498	0.13648	0	0.10155	0.34505
169797_DO011139693DR_5388500012_C	0.00013	0	0.01783	0.00502	0	0	0.04642	0.25748	0	0.06852	0	0	0	0.05542	0.06519	0	0.12913	0.35487
169798_DO01113971XDR_5388500012_D	0.00156	0	0.00399	0.00479	0	0	0.0328	0.26751	0	0.07533	0	0	0	0.00863	0.11811	0	0.13183	0.35544
170243_DO011145498DR_5388500012_E	0	0	0.00859	0.00932	0.00367	0.00185	0.04049	0.26987	0	0.06263	0	0	0	0	0.11578	0	0.15987	0.32793
170380_DO011140366DR_5388500012_F	0.0057	0	0	0.00431	0	0	0	0.35678	0	0.05622	0	0	0	0	0.16626	0	0.12953	0.2812
169701_DO011133346DR_5388500012_G	0.00469	0	0.0022	0.01091	0	0	0.10819	0.19694	0	0.04286	0	0	0	0.01292	0.07516	0	0.13378	0.41236
169957_DO011140474DR_5388500012_H	0.00092	0	0.01185	0.00939	0	0	0.07971	0.24233	0	0.02129	0	0	0	0.0303	0.11643	0	0.11723	0.37057
169725_DO011139115DR_5388500012_I	0	0	0.01484	0.01293	0.00303	0	0.04675	0.2206	0	0.02547	0	0	0	0.0294	0.14065	0	0.16656	0.33978
169971_DO011140654DR_5388500012_J	0	0	0.02007	0.0198	0	0	0.03019	0.20589	0	0.04267	0	0	0	0.0087	0.16227	0	0.11661	0.39381
169790_DO011139558DR_5388500012_K	8.00E-04	0	0.00397	0.00496	0	0	0.02631	0.29075	0	0.05417	0	0	0	0.0563	0.16378	0	0.07494	0.32401
128115_GC008233485DR_5388500012_L	0	0.07827	0.30618	0.12467	0.0656	0.01469	0.03429	0	0.02333	0.04404	0	0.00077	0	0.04439	0.16067	0.01672	0.00569	0.08071
169888_DO011142229DR_5388500017_A	0	0	0.01031	0.01442	0.00059	0	0.06112	0.24632	0	0.03254	0	0	0	0.01407	0.14494	0	0.11087	0.36481
170190_DO011143309DR_5388500017_B	0	0	0.00715	0.00365	0.00301	0	0.04663	0.18501	0	0.06066	0	0	0	0.08951	0.15569	0	0.18015	0.26852
169830_DO011139774DR_5388500017_C	1.00E-05	0	0.01164	0.01899	0	0	0.07302	0.22984	0	0.05143	0	0	0	0.01332	0.20075	0	0.07569	0.32531
169840_DO011139918DR_5388500017_D	0	0	0.00736	0.02149	0	0.00959	0.05326	0.17813	0	0.06132	0	0	0	0.04108	0.19644	0	0.1031	0.32822
169886_DO011142184DR_5388500017_E	0	0	0.00587	0.00222	0.00553	0.00296	0.04784	0.32835	0	0.03551	0	0	0	0.01737	0.10603	0	0.1258	0.32251
170195_DO011143408DR_5388500017_F	0	0	0.02596	0	0.00631	0	0.03124	0.2434	0.00689	0	0.04185	0	0	0.06527	0.19061	0.03168	0.17723	0.17956
169700_DO011133328DR_5388500017_G	2.00E-05	0	0.00037	0.0045	0.00987	0.00018	0.04829	0.18668	0	0.04311	0	0	0	0.13476	0.10386	0	0.14946	0.3189
169968_DO011140591DR_5388500017_H	0	0	0.02317	0.01042	0	0	0	0.36499	0	0.05545	0	0	0	0	0.19965	0	0.12111	0.22521
169727_DO011139151DR_5388500017_I	0.00027	0	0.01117	0.00403	0.00145	0	0.03705	0.22365	0	0.05843	0	0	0	0.1225	0.10402	0	0.14428	0.29316
169984_DO011140735DR_5388500017_J	0	0	0.02302	0.00563	0	0	0.03643	0.28615	0	0.05411	0	0	0	0.01051	0.1485	0	0.13696	0.29869
169841_DO011139936DR_5388500017_K	0.00134	0	0.01625	0.01464	0	0	0.03139	0.24609	0	0.06393	0	0	0	0	0.0867	0	0.14079	0.39886
128115_GC008233485DR_5388500017_L	0	0.06959	0.34852	0.11333	0.05435	0.01473	0.03146	0	0.02315	0.03499	0	0.00827	0	0.02114	0.18548	0.00036	0.01292	0.08171
