ds	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
169691_DO011133148DR_5388500003_I	0.0108	0	0.00156	0	0	0	0	0	0	0.12312	0.01618	0	0.35421	0.07299	0	0	0	0	0.00111	0	0	0.42003
169983_DO011140717DR_5388500003_J	0	0	0	0.00615	0	0	0	0	0	0.00369	0.11296	0	0.43892	0.12865	0	0	0	0	0.03331	0	0	0.27632
169930_DO01114320XDR_5388500003_K	0	0	0	0.0143	0	0	0	0	0	0.09975	0.12267	0	0.37238	0.14131	0	0	0	0	4.00E-05	0	0	0.24956
128115_GC008233485DR_5388500003_L	0.04177	0	0.37589	0.02225	0	0	0	0.05409	0	0	0.04959	0	0.02219	0.06101	0.02208	0	0.06219	0.13172	0.04498	0	0.03106	0.08119
169893_DO011142328DR_5388500004_A	0.02531	0.00439	0	0.02573	0	0	0	0	0.0048	0.03676	0.09064	0	0.30099	0.08983	0	0	0	0.00341	0	0	0	0.41813
170189_DO011143282DR_5388500004_B	0.0158	0	0.05099	0.15805	0	0.10978	0	0	0	0	0.10093	0	0.24139	0.0194	0	0	0	0.00888	0.0132	0	0.05353	0.22806
170376_DO011140285DR_5388500004_C	0.02877	0	0.02432	0.01469	0	0	0	0	0	0.10923	0.06887	0	0.24444	0.16484	0	0	0	0	0.00431	0	0	0.34053
170372_DO011140202DR_5388500004_D	0.04135	0.01516	0.05723	0	0	0	0	0	0.01156	0.08069	0.03256	0	0.24263	0.1423	0	0	0	0	0.00339	0	0	0.37314
170437_DO011145271DR_5388500004_E	0.01596	0.00786	0.01359	0.07741	0	0	0	0	0	0.02464	0.10138	0	0.3549	0.108	0	0	0	0	0.02219	0	0	0.27408
170432_DO011145190DR_5388500004_F	0	0.00267	0.10584	0.09909	0	0	0	0	0	0.04939	0.08165	0	0.27431	0.07772	0	0	0	0	0.02651	0	0.00391	0.2789
169717_DO011138955DR_5388500004_G	0	0.02634	0	0.13552	0	0	0	0	0	0	0.20281	0	0.31051	0.03916	0	0	0	0	0.01518	0	0	0.27048
169967_DO011140573DR_5388500004_H	0.02066	0.00521	0	0.01221	0.00071	0	0	0	0	0.04377	0.05849	0	0.30708	0.16009	0	0	0	0	0.00817	0	0	0.38361
169719_DO011138991DR_5388500004_I	0.02752	0	0	0.10367	0	0	0	0	0.00381	0	0.09556	0	0.30615	0.12682	0	0	0	0	0.01172	0	0	0.32475
169928_DO011143165DR_5388500004_J	0.00974	0.021	0	0.0384	0	0	0	0	0	0	0.12752	0	0.5664	0.08255	0	0	0	0	0.00478	0	0	0.14961
169968_DO011140591DR_5388500004_K	0	0	0	0.00979	0	0	0	0	0	0	0.124	0	0.50349	0.06699	0	0	0	0	0.15873	0	0.01813	0.11887
128115_GC008233485DR_5388500004_L	0.04176	0	0.37233	0.01276	0	0	0	0.06467	0	0	0.05996	0	0.02022	0.06672	0.02195	0	0.05449	0.12802	0.04617	0	0.029	0.08193
170433_DO011142508DR_5388500006_A	0	0	0	0.05326	0	0	0	0	0	0.109	0.08762	0	0.38342	0.10827	0	0	0	0	0.01156	0	0	0.24687
169921_DO01114302XDR_5388500006_B	0	0	0	0.14092	0	0	0	0	0	0.02107	0.17426	0	0.44295	0.08822	0	0	0	0	0.03396	0	0	0.09862
169694_DO011133200DR_5388500006_C	0.02873	0	0	0	0	0	0	0	0	0.11787	0.02734	0	0.33093	0.1424	0	0	0	0	0	0	0	0.35274
169792_DO011139594DR_5388500006_D	0.02143	0	0	0.01123	0.0324	0	0	0	0	0.03531	0.08269	0	0.29157	0.16076	0	0	0	0	0.02749	0	0	0.33713
170235_DO011139954DR_5388500006_E	0.01699	0	0.00292	0.07362	0.03107	0	0	0	0	0.01659	0.09502	0	0.26378	0.14793	0	0	0	0	0.01424	0	0	0.33784
169853_DO011142166DR_5388500006_F	0.04562	0.03243	0.06254	0.22636	0	0	0	0	0	0.0197	0.17098	0	0.26068	0.08936	0.00733	0	0	0	0	0	0	0.085
169923_DO011143066DR_5388500006_G	0.05113	0.00893	0.00747	0.20429	0	0	0	0	0	0	0.18729	0	0.30946	0.08904	0.00075	0	0	0	0.04337	0	0.02685	0.07142
170371_DO011140186DR_5388500006_H	0	0	0.01337	0.29373	0	0	0	0	0	0.00814	0.23854	0	0.18746	0.03673	0	0	0	0	0	0	0	0.22203
170197_DO011145334DR_5388500006_I	0	0	0.03388	0.28827	0	0	0	0	0	0.058	0.17745	0	0.18764	0.04211	0	0	0	0	0	0	0	0.21266
169936_DO011140438DR_5388500006_J	0.01641	0	0.00198	0.11264	0.03681	0	0	0	0.00799	0	0.11732	0	0.31287	0.03788	0	0	0	0	0.04103	0	0.00288	0.31218
169718_DO011138973DR_5388500006_K	0.0447	0	0	0.09302	0.003	0	0	0	0	0	0.11293	0	0.22363	0.10083	0	0	0	0	0	0	0	0.42189
128115_GC008233485DR_5388500006_L	0	0.02783	0.44246	0	0	0	0	0.07817	0	0	0.04396	0	0.01817	0.04528	0.01053	0	0.06348	0.10292	0.06495	0	0.0322	0.07003
169926_DO011143129DR_5388500007_A	0.01983	0	0	0	0.01092	0	0	0	0	0.06685	0.03432	0	0.28168	0.1328	0	0	0	0	0.00676	0	0	0.44683
169922_DO011143048DR_5388500007_B	0.02362	0	0.00522	0.00176	0.02413	0	0	0	0	0	0.10274	0	0.2745	0.13543	0	0	0	0	0.03824	0	0	0.39436
169728_DO011139340DR_5388500007_C	0.01101	0	0.12478	0.06318	0	0	0	0	0	0.07095	0.08289	0	0.26003	0.13835	0	0	0	0	0.00825	0	0	0.24057
169771_DO011139468DR_5388500007_D	0	0	0	0.03698	0	0	0	0	0	0	0.15586	0	0.38994	0.12151	0	0	0	0	0.07234	0	0.07257	0.1508
169929_DO011143183DR_5388500007_E	0	0	0	0	0	0	0	0	0	0.15748	0.01647	0	0.61819	0	0	0	0	0.00409	0.08555	0	0	0.11821
170373_DO011140220DR_5388500007_F	0	0.03609	0.00217	0.07936	0	0	0	0	0	0.10531	0.0704	0	0.23666	0.10826	0	0	0	0	0.00997	0	0	0.35179
170434_DO011145217DR_5388500007_G	0.02554	0	0	0	0.05574	0	0	0	0	0.09363	0.07075	0	0.27148	0.10333	0	0	0	0	0.0198	0	0.01318	0.34654
170431_DO011145235DR_5388500007_H	0	0.00984	0.00719	0.05488	0.07255	0.08517	0	0	0	0	0.09989	0	0.34235	0.03037	0	0	0	0	0.0368	0	0.07055	0.19043
169695_DO011133229DR_5388500007_I	0	0	0.05412	0	0	0.00359	0	0.17321	0	0	0.18914	0	0.37779	0	0.00627	0	0.06697	0.02636	0.04266	0	0	0.05989
169963_DO011140537DR_5388500007_J	0.02359	0	0.01069	0	0.06234	0	0	0	0	0.054	0.09198	0	0.19759	0.15299	0	0	0	0	0	0	0	0.40681
169721_DO011139034DR_5388500007_K	0.02815	0	0	0.00138	0	0	0	0	0	0.11164	0.04019	0	0.27507	0.176	0	0	0	0	0	0	0	0.36757
128115_GC008233485DR_5388500007_L	0.03628	0	0.38664	0.02002	0	0	0	0.05393	0	0	0.05341	0	0.04183	0.05299	0.01481	0	0.0641	0.12402	0.04783	0	0.02837	0.07577
169894_DO011142346DR_5388500008_A	0	0	0	0	0	0	0	0	0	0.16812	0.1624	0	0.25957	0.05074	0	0	0	0	0.00316	0	0	0.35601
169932_DO011143246DR_5388500008_B	0	0	0.00365	0.17185	0	0	0	0	0	0.08454	0.22647	0	0.26175	0.06198	0	0	0	0	0.00449	0	0	0.18528
169774_DO011139511DR_5388500008_C	0.01589	0	0	0	0	0	0	0	0	0.08826	0.03788	0	0.30453	0.12823	0	0	0	0	0	0	0	0.42521
169831_DO011139792DR_5388500008_D	0.0011	0	0.00462	0.09492	0	0	0	0	0	0	0.16225	0	0.30169	0.09768	0	0	0	0	0.02805	0	0	0.3097
169899_DO011142427DR_5388500008_E	0	0	0	0	0	0	0	0	0	0.13585	0.05905	0	0.3315	0.19375	0	0	0	0	0.00103	0	0	0.27883
170196_DO011145316DR_5388500008_F	0	0	0	0	0	0	0	0	0	0.09509	0.06716	0	0.33245	0.17834	0	0	0	0	0.02546	0	0	0.30149
170436_DO011145253DR_5388500008_G	0.03422	0.00298	0	0.14347	0	0	0	0	0	0.01119	0.07497	0	0.33342	0.12347	0	0	0	0	0.01978	0	0	0.25649
170429_DO011145154DR_5388500008_H	0	0.03009	0.00213	0.17161	0	0.06198	0	0	0	0	0.08523	0	0.28762	0.05261	0	0	0	0	0.02492	0	0.02422	0.25959
169696_DO011133247DR_5388500008_I	0.01592	0.03006	0.01397	0.21659	0.01947	0.14297	0	0	0.00797	0	0.09254	0	0.30068	0	0	0	0	0.00965	0	0	0	0.15018
169982_DO011140690DR_5388500008_J	0.03686	0	0.00521	0.18536	0	0	0	0	0	0.0424	0.08789	0	0.22871	0.05954	0	0	0	0.00217	0	0	0	0.35186
169723_DO011139070DR_5388500008_K	0.1114	0.04965	0.01486	0.16649	0	0	0	0	0	0.00633	0.1152	0	0.36583	0.05201	0	0	0	0.01025	0.01167	0	0	0.09631
128115_GC008233485DR_5388500008_L	0.0363	0	0.36989	0.01932	0	0	0.01341	0.06377	0	0	0.04447	0	0.0424	0.05737	0.02032	0	0.05286	0.12204	0.05862	0	0.02537	0.07385
169925_DO011143100DR_5388500009_A	0.03558	0	0	0	0.00548	0	0	0	0	0.10042	0.06548	0	0.23419	0.07959	0	0	0	0	0	0	0	0.47926
169896_DO011142364DR_5388500009_B	0.005	0	0	0.05869	0	0	0	0	0	0.02506	0.13125	0	0.41135	0.05628	0	0	0	0	0.00693	0	0	0.30545
169794_DO011139639DR_5388500009_C	0.02527	0	0	0.0999	0	0	0	0	0	0.02428	0.09869	0	0.33677	0.07516	0	0	0	0	0	0	0	0.33992
170240_DO011139972DR_5388500009_D	0.01238	0.01692	0	0.12429	0.01906	0	0	0	0	0.00538	0.1221	0	0.39982	0.08374	0	0	0	0	0	0	0	0.2163
169913_DO011142445DR_5388500009_E	0	0.00125	0.00321	0.12876	0	0	0	0	0	0.06929	0.12856	0	0.29554	0.05195	0	0	0	0	0	0	0	0.32143
170194_DO011143381DR_5388500009_F	0	0	0	0.1658	0	0	0	0	0	0.06837	0.13693	0	0.32621	0.05663	0	0	0	0	0	0	0	0.24607
170379_DO011140348DR_5388500009_G	0.01926	0	0	0	0	0	0	0	0	0.0977	0.07	0	0.29647	0	0.00047	0	0	0.06815	0.00264	0	0	0.44531
170430_DO011145172DR_5388500009_H	0.0155	0	0.07132	0.11833	0	0	0	0	0	0.05527	0.05843	0	0.34149	0.06064	0	0	0	0	0.00692	0	0	0.27209
169697_DO011133265DR_5388500009_I	0	0	0	0.07827	0	0	0	0	0	0.06107	0.09424	0	0.41297	0.084	0	0	0	0	0.00355	0	0.00043	0.26546
169935_DO01114041XDR_5388500009_J	0.01392	0.00394	0.00777	0.10645	0.04463	0.09296	0	0	0.0171	0	0.13525	0	0.34454	0	0	0	0	0.00321	0.00178	0	0	0.22845
169934_DO011140393DR_5388500009_K	0	0	0	0.22657	0	0	0	0	0	0.04812	0.18437	0	0.30411	0.00765	0	0	0	0	0	0	0.03107	0.19811
128115_GC008233485DR_5388500009_L	0.04613	0	0.37913	0.0043	0	0	0	0.08769	0	0	0.04826	0	0.03538	0.06169	0.01005	0	0.04752	0.14098	0.04789	0	0.01705	0.07391
169897_DO011142382DR_5388500010_A	0.01017	0.01063	0	0.18894	0	0	0	0	0	0	0.18099	0	0.30925	0.03213	0	0	0	9.00E-05	0.01564	0	0.00198	0.25017
170239_DO011145433DR_5388500010_B	0.00862	0.02332	0.03076	0.26775	0	0.02025	0	0	0	0	0.10419	0	0.33017	0.0265	0.00286	0	0	0.0086	0.02346	0	0	0.15352
169791_DO011139576DR_5388500010_C	0.03037	0	0	0.0497	0	0	0	0	0	0.00478	0.09601	0	0.40768	0.16692	0	0	0	0	0.02587	0	0	0.21866
169775_DO01113953XDR_5388500010_D	0.02845	0	0	0	0.00496	0	0	0	0	0.10535	0.04917	0	0.30401	0.12254	0	0	0	0	0.01399	0	0	0.37153
169914_DO011142463DR_5388500010_E	0.02803	0	0.01509	0.04554	0	0	0	0	0	0.11594	0.07009	0	0.24919	0.21029	0	0	0	0	0	0	0	0.26584
170191_DO011143327DR_5388500010_F	0.00776	0	0	0.10069	0	0	0	0	0	0.05329	0.08852	0	0.29392	0.16253	0	0	0	0	0.00139	0	0	0.29191
170374_DO011140249DR_5388500010_G	0	0	0	0	0	0	0	0.35726	0	0	0.05319	0	0.32598	0	0.03302	0	0.01435	0	0.13003	0	0	0.08617
170377_DO011140301DR_5388500010_H	0.04975	0	0	0	0	0	0	0	0	0.09109	0.03572	0	0.21367	0.15536	0	0	0	0	0	0	0	0.45441
169698_DO011133283DR_5388500010_I	0.02483	0	0	0	0.06454	0	0	0	0	0.04117	0.05139	0	0.37637	0.16244	0	0	0	0	0	0	0	0.27927
169987_DO011140771DR_5388500010_J	0.01831	0	0.0203	0.07993	0.11548	0.00089	0	0	0	0	0.06532	0	0.4148	0.08328	0	0	0	0	0.00462	0	0	0.19706
169985_DO011140753DR_5388500010_K	0.0315	0	0	0	0	0	0	0	0	0.1128	0.09465	0	0.31049	0.16863	0	0	0	0	0.00059	0	0	0.28133
128115_GC008233485DR_5388500010_L	0.03952	0	0.40867	0.01613	0	0	0	0.05887	0	0	0.04432	0	0.02846	0.05602	0.01742	0	0.06012	0.13397	0.04954	0	0.01363	0.07333
169898_DO011142409DR_5388500011_A	0.01634	0	0	0	0.00996	0	0	0	0	0.09643	0.05654	0	0.24542	0.106	0	0	0	0	0.01243	0	0.003	0.45388
170244_DO011145514DR_5388500011_B	0.02077	0	0.03053	0.27562	0	0	0	0	0.00487	0	0.17052	0	0.25307	0.08907	3.00E-04	0	0	0	0.01738	0	0	0.13787
170370_DO011140168DR_5388500011_C	0.01812	0.01013	0.05235	0.0371	0.04895	0	0	0	0	0.03393	0.07012	0	0.28072	0.05799	0	0	0	0	0.01459	0	0	0.37599
170369_DO01114014XDR_5388500011_D	0.02185	0	0.01406	0	0.02902	0	0	0	0	0.0605	0.06279	0	0.28717	0.14272	0	0	0	0	0.02562	0	0	0.35626
169915_DO011142481DR_5388500011_E	0.00511	0	0	0.05918	0.00207	0	0	0	0	0	0.11449	0	0.33911	0.13255	0	0	0	0	0.05806	0	0	0.28944
170238_DO011145415DR_5388500011_F	0.03616	0	0	0	0	0	0	0	0	0.13442	0.05825	0	0.22855	0.15892	0	0	0	0	0.02355	0	0	0.36015
169699_DO01113330XDR_5388500011_G	0.0415	0.00029	0	0.11141	0	0	0	0	0	0.03034	0.07665	0	0.34629	0.06638	0	0	0	0	0.01445	0	0.01361	0.29909
169965_DO011140555DR_5388500011_H	0.04288	0	0	0.0253	0.00098	0	0	0	0	0.08633	0.06266	0	0.26451	0.16034	0	0	0	0	0	0	0	0.35699
169724_DO011139099DR_5388500011_I	0.02963	0.0168	0	0.06987	0.0312	0	0	0	0	0	0.12701	0	0.44313	0.0474	0	0	0	0	0.0426	0	0.03019	0.16216
169956_DO011140456DR_5388500011_J	0.02528	0	0	0.00702	0.00381	0	0	0	0	0.09282	0.08727	0	0.3083	0.12686	0	0	0	0	0.00195	0	0	0.3467
169832_DO011139819DR_5388500011_K	0.08003	0	0	0.05739	0.06155	0	0	0	0	0	0.07141	0	0.39766	0.0255	0.0014	0	0	0.02277	0.01595	0	0	0.26634
128115_GC008233485DR_5388500011_L	0.05955	0	0.39329	0	0	0	0	0.06523	0	0	0.05516	0	0.03501	0.05323	0.01747	0	0.04908	0.12571	0.05058	0	0.01362	0.08206
169887_DO011142200DR_5388500012_A	0.0125	0	0	0	0	0	0	0	0	0.09434	0.03216	0	0.37435	0.13172	0	0	0	0	0	0	0	0.35493
170193_DO011143363DR_5388500012_B	0.00276	0	0.01022	0.02511	0.03189	0	0	0	0	0.11304	0.05235	0	0.37066	0.11528	0	0	0	0	0.00502	0	0	0.27366
169797_DO011139693DR_5388500012_C	0.04438	0.00171	0.01066	0.04033	0.00935	0	0	0	0	0.05382	0.05768	0	0.33547	0.09939	0	0	0	0	0.00713	0	0	0.34009
169798_DO01113971XDR_5388500012_D	0.02191	0	0	0	0.00341	0	0	0	0	0.07827	0.07999	0	0.31273	0.14729	0	0	0	0	0.01065	0	0	0.34575
170243_DO011145498DR_5388500012_E	0.02086	0.01505	0	0.02164	0	0	0	0	0	0.00329	0.14983	0	0.40088	0.13003	0	0	0	0	0.02154	0	0	0.23688
170380_DO011140366DR_5388500012_F	0.00165	0	0	0	0	0	0	0	0	0.06367	0.09664	0	0.45426	0.19494	0	0	0	0	0.00421	0	0	0.18462
169701_DO011133346DR_5388500012_G	0.02768	0	0	0.03425	0.00962	0	0	0	0	0	0.11688	0	0.29181	0.1367	0	0	0	0	0.01734	0	0	0.36571
169957_DO011140474DR_5388500012_H	0.03932	0	0	0	0.02438	0	0	0	0	0.12949	0.04573	0	0.33682	0.12141	0	0	0	0	0	0	0	0.30285
169725_DO011139115DR_5388500012_I	0.01229	0.00857	0	0.08694	0	0	0	0	0	0.02097	0.14207	0	0.34954	0.07982	0	0	0	0	0.00484	0	0	0.29497
169971_DO011140654DR_5388500012_J	0.02401	0	0	0.05697	0	0	0	0	0	0.06003	0.1016	0	0.18402	0.15094	0	0	0	0	0.0227	0	0	0.39974
169790_DO011139558DR_5388500012_K	0.02833	0	0	0.04149	0.02312	0	0	0	0	0	0.09307	0	0.38248	0.16913	0	0	0	0	0.02011	0	0	0.24229
128115_GC008233485DR_5388500012_L	0.04614	0	0.45568	0.00042	0	0	0	0.07397	0	0	0.04957	0	0.01878	0.03744	0.00785	0	0.04847	0.11956	0.04776	0	0.0114	0.08296
169888_DO011142229DR_5388500017_A	0.00266	0	0	0.07527	0	0	0	0	0	0.06921	0.06213	0	0.37126	0.07835	0	0	0	0	0.02466	0	0.01719	0.29926
170190_DO011143309DR_5388500017_B	0.01337	0	0.00824	0.19683	0	0	0	0	0	0	0.12485	0	0.37708	0.06695	0.00346	0	0	0.00271	0.01939	0	0	0.1871
169830_DO011139774DR_5388500017_C	0.04436	0	0	0.02147	0	0	0	0	0	0.05574	0.08564	0	0.31797	0.23206	0	0	0	0	0.03077	0	0	0.21199
169840_DO011139918DR_5388500017_D	0.04053	0	0	0.08018	0	0	0	0	0	0	0.11652	0	0.31156	0.18815	0	0	0	0	0.04038	0	0	0.22268
169886_DO011142184DR_5388500017_E	0.01946	0.02819	0	0.02688	0	0	0	0	0	0.10584	0.03219	0	0.47181	0.02083	0	0	0	0	0	0	0	0.29479
170195_DO011143408DR_5388500017_F	0	0.025	0	0.20749	0	0	0	0	0	0.02374	0.15884	0	0.45294	0	0.00313	0	0	0.01603	0	0	0	0.11283
169700_DO011133328DR_5388500017_G	0.0209	0	0	0.13952	0.05238	0	0	0	0	0	0.1073	0	0.33383	0.07447	0	0	0	0.0048	0.00144	0	0	0.26537
169968_DO011140591DR_5388500017_H	0	0	0	0.02412	0	0	0	0	0	0	0.12882	0	0.50365	0.06732	0	0	0	0	0.17319	0	0.00962	0.09328
169727_DO011139151DR_5388500017_I	0.00022	0.01793	0	0.16641	0	0	0	0	0.01986	0.02211	0.05808	0	0.41326	0.04006	0.00043	0	0	0.00306	0.00961	0	0.03066	0.21831
169984_DO011140735DR_5388500017_J	0.02144	0	0	0.05766	0	0	0	0	0	0.0519	0.09763	0	0.39546	0.14334	0	0	0	0	0	0	0	0.23257
169841_DO011139936DR_5388500017_K	0	0	0	0	0	0	0	0	0	0	0.12485	0	0.30774	0.18536	0	0	0	0	0.05536	0	0	0.32669
128115_GC008233485DR_5388500017_L	0.04112	0	0.39628	0.01934	0	0	0	0.06009	0	0	0.04291	0	0.04173	0.0595	0.01405	0	0.03928	0.13998	0.0454	0	0.02452	0.07581
