a	affy_hugene_1_0_st_v1	ensembl_gene_id	gene_biotype	external_gene_name
1024	7892556	ENSG00000206228	processed_pseudogene	HNRNPA1P4
1721	7892556	ENSG00000214223	processed_pseudogene	HNRNPA1P10
1733	7892556	ENSG00000273760	lncRNA	AC245041.1
2599	7892556	ENSG00000229251	processed_pseudogene	HNRNPA1P8
2989	7892556	ENSG00000257596	lncRNA	SCAT2
3004	7892556	ENSG00000135486	protein_coding	HNRNPA1
4759	7892556	ENSG00000224578	protein_coding	HNRNPA1P48
2547	7892557	ENSG00000168385	protein_coding	SEPTIN2
2043	7892559	ENSG00000268983	lncRNA	AC005253.2
2049	7892559	ENSG00000006016	protein_coding	CRLF1
4447	7892560	ENSG00000100220	protein_coding	RTCB
2363	7892561	ENSG00000113732	protein_coding	ATP6V0E1
3757	7892562	ENSG00000075856	protein_coding	SART3
447	7892564	ENSG00000104904	protein_coding	OAZ1
3208	7892565	ENSG00000124422	protein_coding	USP22
1301	7892566	ENSG00000136504	protein_coding	KAT7
4471	7892567	ENSG00000100220	protein_coding	RTCB
1473	7892568	ENSG00000138668	protein_coding	HNRNPD
2943	7892569	ENSG00000115649	protein_coding	CNPPD1
3403	7892572	ENSG00000089053	protein_coding	ANAPC5
4099	7892574	ENSG00000057608	protein_coding	GDI2
2428	7892575	ENSG00000120948	protein_coding	TARDBP
2048	7892576	ENSG00000006016	protein_coding	CRLF1
2357	7892577	ENSG00000254328	processed_pseudogene	AC008429.4
2052	7892578	ENSG00000006016	protein_coding	CRLF1
2963	7892579	ENSG00000198755	protein_coding	RPL10A
2023	7892583	ENSG00000105700	protein_coding	KXD1
971	7892585	ENSG00000168522	protein_coding	FNTA
1857	7892587	ENSG00000092199	protein_coding	HNRNPC
1685	7892591	ENSG00000197223	protein_coding	C1D
2083	7892594	ENSG00000114391	protein_coding	RPL24
531	7892595	ENSG00000099783	protein_coding	HNRNPM
1672	7892596	ENSG00000144028	protein_coding	SNRNP200
4704	7892598	ENSG00000134440	protein_coding	NARS1
582	7892599	ENSG00000147140	protein_coding	NONO
4718	7892600	ENSG00000134440	protein_coding	NARS1
2571	7892602	ENSG00000168385	protein_coding	SEPTIN2
4152	7892604	ENSG00000057608	protein_coding	GDI2
2483	7892605	ENSG00000168385	protein_coding	SEPTIN2
227	7892606	ENSG00000201758	misc_RNA	RN7SKP55
1401	7892606	ENSG00000267065	lncRNA	LINC02080
2154	7892606	ENSG00000169895	protein_coding	SYAP1
2170	7892606	ENSG00000134371	protein_coding	CDC73
110	7892609	ENSG00000216101	miRNA	MIR877
698	7892609	ENSG00000236342	protein_coding	ABCF1
1341	7892609	ENSG00000225989	protein_coding	ABCF1
1582	7892609	ENSG00000204574	protein_coding	ABCF1
1800	7892609	ENSG00000206490	protein_coding	ABCF1
2673	7892609	ENSG00000231129	protein_coding	ABCF1
2739	7892609	ENSG00000232169	protein_coding	ABCF1
4400	7892609	ENSG00000236149	protein_coding	ABCF1
318	7892610	ENSG00000271982	snoRNA	SNORD58B
4223	7892610	ENSG00000265681	protein_coding	RPL17
4608	7892610	ENSG00000265182	processed_pseudogene	SRP72P1
1288	7892611	ENSG00000136504	protein_coding	KAT7
104	7892616	ENSG00000216101	miRNA	MIR877
1597	7892616	ENSG00000204574	protein_coding	ABCF1
818	7892618	ENSG00000065427	protein_coding	KARS1
3202	7892620	ENSG00000124422	protein_coding	USP22
1226	7892621	ENSG00000263179	processed_pseudogene	HNRNPCP4
1837	7892621	ENSG00000092199	protein_coding	HNRNPC
3265	7892621	ENSG00000204253	processed_pseudogene	HNRNPCP2
2768	7892622	ENSG00000143621	protein_coding	ILF2
3700	7892623	ENSG00000111780	protein_coding	AL021546.1
3702	7892623	ENSG00000257218	protein_coding	GATC
4550	7892624	ENSG00000067560	protein_coding	RHOA
2945	7892625	ENSG00000115649	protein_coding	CNPPD1
350	7892626	ENSG00000284325	miRNA	MIR3655
927	7892626	ENSG00000113141	protein_coding	IK
144	7892627	ENSG00000274300	miRNA	MIR6864
391	7892627	ENSG00000278517	miRNA	MIR6865
2797	7892627	ENSG00000091640	protein_coding	SPAG7
3023	7892627	ENSG00000108509	protein_coding	CAMTA2
439	7892628	ENSG00000275945	processed_pseudogene	EIF3FP1
1519	7892628	ENSG00000175390	protein_coding	EIF3F
2647	7892628	ENSG00000233426	processed_pseudogene	EIF3FP3
3503	7892628	ENSG00000255996	processed_pseudogene	AC005906.1
4601	7892628	ENSG00000279081	processed_pseudogene	AL356585.1
4962	7892628	ENSG00000281175	processed_pseudogene	AL356585.6
4088	7892630	ENSG00000057608	protein_coding	GDI2
4289	7892630	ENSG00000233994	processed_pseudogene	GDI2P2
4689	7892630	ENSG00000229165	processed_pseudogene	GDI2P1
2221	7892632	ENSG00000258904	lncRNA	AL157871.5
525	7892633	ENSG00000099783	protein_coding	HNRNPM
3414	7892634	ENSG00000089053	protein_coding	ANAPC5
3819	7892635	ENSG00000075856	protein_coding	SART3
1531	7892637	ENSG00000175390	protein_coding	EIF3F
3099	7892638	ENSG00000127022	protein_coding	CANX
587	7892639	ENSG00000147140	protein_coding	NONO
599	7892642	ENSG00000147140	protein_coding	NONO
1156	7892643	ENSG00000213326	processed_pseudogene	RPS7P11
2884	7892643	ENSG00000171863	protein_coding	RPS7
3731	7892643	ENSG00000263266	processed_pseudogene	RPS7P1
4253	7892643	ENSG00000282052	processed_pseudogene	RPS7P11
489	7892644	ENSG00000099783	protein_coding	HNRNPM
1754	7892645	ENSG00000100632	protein_coding	ERH
1509	7892650	ENSG00000136942	protein_coding	RPL35
3103	7892651	ENSG00000127022	protein_coding	CANX
2697	7892652	ENSG00000096384	protein_coding	HSP90AB1
3046	7892654	ENSG00000254623	unprocessed_pseudogene	DEFB108E
3661	7892654	ENSG00000215371	unprocessed_pseudogene	DEFB108C
3922	7892654	ENSG00000229907	unprocessed_pseudogene	DEFB108A
4875	7892654	ENSG00000255544	unprocessed_pseudogene	DEFB108D
3971	7892655	ENSG00000174231	protein_coding	PRPF8
360	7892657	ENSG00000284325	miRNA	MIR3655
928	7892657	ENSG00000113141	protein_coding	IK
1917	7892661	ENSG00000117410	protein_coding	ATP6V0B
1933	7892661	ENSG00000132768	protein_coding	DPH2
2938	7892662	ENSG00000115649	protein_coding	CNPPD1
3576	7892663	ENSG00000129562	protein_coding	DAD1
528	7892664	ENSG00000099783	protein_coding	HNRNPM
3221	7892665	ENSG00000124422	protein_coding	USP22
2231	7892667	ENSG00000100811	protein_coding	YY1
198	7892668	ENSG00000200731	snRNA	RNU1-124P
939	7892668	ENSG00000254673	protein_coding	AC110275.1
968	7892668	ENSG00000168522	protein_coding	FNTA
2398	7892668	ENSG00000254502	processed_pseudogene	AP003097.1
960	7892669	ENSG00000168522	protein_coding	FNTA
4653	7892670	ENSG00000175467	protein_coding	SART1
59	7892674	ENSG00000207716	miRNA	MIR572
2863	7892674	ENSG00000250896	processed_pseudogene	RNPS1P1
4020	7892674	ENSG00000205937	protein_coding	RNPS1
224	7892676	ENSG00000200623	snoRNA	SNORD18A
281	7892676	ENSG00000199673	snoRNA	SNORD16
2462	7892676	ENSG00000174444	protein_coding	RPL4
1002	7892678	ENSG00000265298	unprocessed_pseudogene	AC132812.1
1661	7892678	ENSG00000144028	protein_coding	SNRNP200
2479	7892679	ENSG00000168385	protein_coding	SEPTIN2
476	7892680	ENSG00000213860	processed_pseudogene	RPL21P75
672	7892680	ENSG00000233254	processed_pseudogene	RPL21P134
739	7892680	ENSG00000232037	processed_pseudogene	AL590556.1
802	7892680	ENSG00000239470	processed_pseudogene	AC011979.1
1452	7892680	ENSG00000220749	processed_pseudogene	RPL21P28
1501	7892680	ENSG00000229605	processed_pseudogene	RPL21P93
1925	7892680	ENSG00000239797	processed_pseudogene	RPL21P39
1944	7892680	ENSG00000258613	processed_pseudogene	RPL21P7
2142	7892680	ENSG00000243711	processed_pseudogene	RPL21P116
2401	7892680	ENSG00000122026	protein_coding	RPL21
2643	7892680	ENSG00000243071	processed_pseudogene	AC107032.1
2711	7892680	ENSG00000240898	processed_pseudogene	AC132942.1
2713	7892680	ENSG00000040531	protein_coding	CTNS
2857	7892680	ENSG00000214760	processed_pseudogene	RPL21P1
3603	7892680	ENSG00000259738	processed_pseudogene	ZNF444P1
3616	7892680	ENSG00000242747	processed_pseudogene	AC090515.2
3714	7892680	ENSG00000217379	processed_pseudogene	AL589647.1
4278	7892680	ENSG00000240238	processed_pseudogene	AC092754.1
4372	7892680	ENSG00000244021	processed_pseudogene	AC093591.1
4933	7892680	ENSG00000220842	processed_pseudogene	RPL21P16
2071	7892681	ENSG00000143774	protein_coding	GUK1
188	7892682	ENSG00000265882	misc_RNA	RN7SL73P
2081	7892682	ENSG00000114391	protein_coding	RPL24
3031	7892682	ENSG00000235582	processed_pseudogene	AL365258.3
3306	7892682	ENSG00000223711	lncRNA	AC069213.1
3308	7892682	ENSG00000236844	processed_pseudogene	AC069213.3
4267	7892682	ENSG00000236801	processed_pseudogene	RPL24P8
41	7892683	ENSG00000201785	snoRNA	SNORD117
178	7892683	ENSG00000265236	snoRNA	SNORD84
3175	7892683	ENSG00000198563	protein_coding	DDX39B
2471	7892684	ENSG00000168385	protein_coding	SEPTIN2
3214	7892685	ENSG00000124422	protein_coding	USP22
2067	7892686	ENSG00000143774	protein_coding	GUK1
254	7892688	ENSG00000284029	miRNA	MIR6805
2957	7892688	ENSG00000108107	protein_coding	RPL28
3562	7892689	ENSG00000109917	protein_coding	ZPR1
4044	7892693	ENSG00000205937	protein_coding	RNPS1
3196	7892694	ENSG00000124422	protein_coding	USP22
3489	7892699	ENSG00000122565	protein_coding	CBX3
2368	7892701	ENSG00000172757	protein_coding	CFL1
2274	7892702	ENSG00000181163	protein_coding	NPM1
2795	7892703	ENSG00000091640	protein_coding	SPAG7
3579	7892704	ENSG00000129562	protein_coding	DAD1
2487	7892705	ENSG00000168385	protein_coding	SEPTIN2
1537	7892706	ENSG00000175390	protein_coding	EIF3F
1888	7892707	ENSG00000092199	protein_coding	HNRNPC
2781	7892708	ENSG00000143621	protein_coding	ILF2
4738	7892710	ENSG00000134440	protein_coding	NARS1
106	7892712	ENSG00000216101	miRNA	MIR877
1598	7892712	ENSG00000204574	protein_coding	ABCF1
4052	7892713	ENSG00000205937	protein_coding	RNPS1
4754	7892717	ENSG00000143947	protein_coding	RPS27A
1668	7892718	ENSG00000144028	protein_coding	SNRNP200
3984	7892719	ENSG00000174231	protein_coding	PRPF8
2503	7892722	ENSG00000168385	protein_coding	SEPTIN2
2087	7892730	ENSG00000114391	protein_coding	RPL24
4701	7892732	ENSG00000134440	protein_coding	NARS1
849	7892737	ENSG00000065427	protein_coding	KARS1
520	7892740	ENSG00000099783	protein_coding	HNRNPM
1532	7892741	ENSG00000175390	protein_coding	EIF3F
4694	7892742	ENSG00000134440	protein_coding	NARS1
4478	7892743	ENSG00000100220	protein_coding	RTCB
2533	7892744	ENSG00000168385	protein_coding	SEPTIN2
919	7892745	ENSG00000113141	protein_coding	IK
3358	7892745	ENSG00000231043	processed_pseudogene	AC007238.1
650	7892746	ENSG00000086598	protein_coding	TMED2
999	7892747	ENSG00000265298	unprocessed_pseudogene	AC132812.1
1655	7892747	ENSG00000144028	protein_coding	SNRNP200
4540	7892748	ENSG00000067560	protein_coding	RHOA
4737	7892751	ENSG00000134440	protein_coding	NARS1
4132	7892752	ENSG00000057608	protein_coding	GDI2
19	7892753	ENSG00000201247	snoRNA	SNORD114-13
164	7892753	ENSG00000201240	snoRNA	SNORD114-9
166	7892753	ENSG00000200279	snoRNA	SNORD114-10
209	7892753	ENSG00000200608	snoRNA	SNORD114-11
303	7892753	ENSG00000202270	snoRNA	SNORD114-12
571	7892753	ENSG00000130816	protein_coding	DNMT1
670	7892753	ENSG00000161180	protein_coding	CCDC116
742	7892753	ENSG00000124302	protein_coding	CHST8
883	7892753	ENSG00000220204	processed_pseudogene	AL035079.1
2901	7892753	ENSG00000262693	lncRNA	AC012146.3
4083	7892753	ENSG00000225746	lncRNA	MEG8
4200	7892753	ENSG00000118849	protein_coding	RARRES1
4423	7892757	ENSG00000100220	protein_coding	RTCB
4058	7892758	ENSG00000166340	protein_coding	TPP1
4078	7892758	ENSG00000166337	protein_coding	TAF10
2032	7892761	ENSG00000105700	protein_coding	KXD1
2195	7892762	ENSG00000110321	protein_coding	EIF4G2
3941	7892764	ENSG00000174231	protein_coding	PRPF8
4807	7892764	ENSG00000274442	protein_coding	PRPF8
3908	7892766	ENSG00000285338	lncRNA	AC091564.7
4055	7892766	ENSG00000166340	protein_coding	TPP1
4074	7892766	ENSG00000166337	protein_coding	TAF10
4717	7892767	ENSG00000134440	protein_coding	NARS1
811	7892770	ENSG00000112335	protein_coding	SNX3
1253	7892771	ENSG00000136504	protein_coding	KAT7
3664	7892771	ENSG00000232842	processed_pseudogene	AL137845.2
510	7892772	ENSG00000099783	protein_coding	HNRNPM
2563	7892773	ENSG00000168385	protein_coding	SEPTIN2
3439	7892775	ENSG00000089053	protein_coding	ANAPC5
1520	7892776	ENSG00000175390	protein_coding	EIF3F
2648	7892776	ENSG00000233426	processed_pseudogene	EIF3FP3
306	7892778	ENSG00000276712	miRNA	MIR7111
1352	7892778	ENSG00000226360	processed_pseudogene	RPL10AP6
1644	7892778	ENSG00000188873	processed_pseudogene	RPL10AP2
2967	7892778	ENSG00000198755	protein_coding	RPL10A
2986	7892778	ENSG00000242477	processed_pseudogene	AC091429.1
4127	7892779	ENSG00000057608	protein_coding	GDI2
175	7892780	ENSG00000265236	snoRNA	SNORD84
3162	7892780	ENSG00000254870	protein_coding	ATP6V1G2-DDX39B
3271	7892780	ENSG00000213760	protein_coding	ATP6V1G2
3101	7892781	ENSG00000127022	protein_coding	CANX
3106	7892783	ENSG00000127022	protein_coding	CANX
3535	7892786	ENSG00000109917	protein_coding	ZPR1
921	7892787	ENSG00000113141	protein_coding	IK
3205	7892788	ENSG00000124422	protein_coding	USP22
2009	7892789	ENSG00000100353	protein_coding	EIF3D
111	7892790	ENSG00000216101	miRNA	MIR877
1600	7892790	ENSG00000204574	protein_coding	ABCF1
2319	7892791	ENSG00000110696	protein_coding	C11orf58
4176	7892791	ENSG00000259137	processed_pseudogene	AL109766.1
4191	7892797	ENSG00000121897	protein_coding	LIAS
651	7892799	ENSG00000086598	protein_coding	TMED2
3421	7892801	ENSG00000089053	protein_coding	ANAPC5
937	7892802	ENSG00000254673	protein_coding	AC110275.1
949	7892802	ENSG00000168522	protein_coding	FNTA
2397	7892802	ENSG00000254502	processed_pseudogene	AP003097.1
1127	7892803	ENSG00000243199	processed_pseudogene	AC115223.1
1186	7892803	ENSG00000229022	processed_pseudogene	AL365366.1
3326	7892803	ENSG00000235552	transcribed_processed_pseudogene	RPL6P27
4583	7892803	ENSG00000089009	protein_coding	RPL6
1868	7892806	ENSG00000092199	protein_coding	HNRNPC
3772	7892807	ENSG00000075856	protein_coding	SART3
1921	7892808	ENSG00000117410	protein_coding	ATP6V0B
1934	7892808	ENSG00000132768	protein_coding	DPH2
3430	7892810	ENSG00000089053	protein_coding	ANAPC5
4538	7892813	ENSG00000067560	protein_coding	RHOA
2609	7892814	ENSG00000217241	processed_pseudogene	CBX3P9
2614	7892814	ENSG00000218153	processed_pseudogene	KRT18P22
3484	7892814	ENSG00000122565	protein_coding	CBX3
2285	7892816	ENSG00000181163	protein_coding	NPM1
4323	7892816	ENSG00000039523	protein_coding	RIPOR1
1425	7892817	ENSG00000268093	lncRNA	AC022154.1
1434	7892817	ENSG00000063177	protein_coding	RPL18
194	7892818	ENSG00000200731	snRNA	RNU1-124P
946	7892818	ENSG00000168522	protein_coding	FNTA
1230	7892819	ENSG00000235183	processed_pseudogene	SRP14P3
2758	7892820	ENSG00000273673	transcribed_processed_pseudogene	AC011295.1
2766	7892820	ENSG00000237550	transcribed_processed_pseudogene	AC243919.1
3727	7892820	ENSG00000163682	protein_coding	RPL9
3889	7892820	ENSG00000238103	processed_pseudogene	RPL9P7
3896	7892820	ENSG00000184831	protein_coding	APOO
2570	7892821	ENSG00000168385	protein_coding	SEPTIN2
2311	7892822	ENSG00000110696	protein_coding	C11orf58
4513	7892823	ENSG00000235908	lncRNA	RHOA-IT1
729	7892829	ENSG00000108654	protein_coding	DDX5
233	7892830	ENSG00000284163	miRNA	MIR3620
1616	7892830	ENSG00000143761	protein_coding	ARF1
264	7892831	ENSG00000206602	snoRNA	SNORD58A
292	7892831	ENSG00000202093	snoRNA	SNORD58C
320	7892831	ENSG00000271982	snoRNA	SNORD58B
1368	7892831	ENSG00000213179	processed_pseudogene	RPL17P41
1442	7892831	ENSG00000236768	processed_pseudogene	AC124916.1
1775	7892831	ENSG00000230721	processed_pseudogene	AL049597.1
1821	7892831	ENSG00000212664	processed_pseudogene	AC064799.1
2150	7892831	ENSG00000220694	processed_pseudogene	AL096711.1
2439	7892831	ENSG00000243979	processed_pseudogene	AC087752.1
2616	7892831	ENSG00000228331	processed_pseudogene	RPL17P43
2623	7892831	ENSG00000218757	processed_pseudogene	AL121952.1
2788	7892831	ENSG00000216854	processed_pseudogene	RPL17P26
2852	7892831	ENSG00000213041	processed_pseudogene	AC093422.1
2859	7892831	ENSG00000268884	processed_pseudogene	AC010323.2
2975	7892831	ENSG00000226084	processed_pseudogene	AC113935.1
3515	7892831	ENSG00000243592	processed_pseudogene	RPL17P22
3698	7892831	ENSG00000213700	processed_pseudogene	RPL17P50
3718	7892831	ENSG00000122884	protein_coding	P4HA1
4161	7892831	ENSG00000236058	processed_pseudogene	RPL17P36
4183	7892831	ENSG00000241250	processed_pseudogene	RPL17P20
4214	7892831	ENSG00000215472	protein_coding	RPL17-C18orf32
4219	7892831	ENSG00000265681	protein_coding	RPL17
4302	7892831	ENSG00000223409	processed_pseudogene	RPL17P17
4316	7892831	ENSG00000244716	processed_pseudogene	BX679664.3
4326	7892831	ENSG00000234742	processed_pseudogene	AC144530.1
1482	7892832	ENSG00000138668	protein_coding	HNRNPD
4632	7892832	ENSG00000232794	processed_pseudogene	HNRNPDP1
1055	7892833	ENSG00000126247	protein_coding	CAPNS1
486	7892835	ENSG00000220105	processed_pseudogene	AL353151.1
2905	7892835	ENSG00000083845	protein_coding	RPS5
2362	7892836	ENSG00000113732	protein_coding	ATP6V0E1
3194	7892837	ENSG00000124422	protein_coding	USP22
1480	7892838	ENSG00000138668	protein_coding	HNRNPD
4459	7892839	ENSG00000100220	protein_coding	RTCB
785	7892841	ENSG00000175826	protein_coding	CTDNEP1
4917	7892841	ENSG00000251467	processed_pseudogene	AC020893.2
5026	7892841	ENSG00000288307	protein_coding	CTDNEP1
4452	7892843	ENSG00000100220	protein_coding	RTCB
4511	7892846	ENSG00000235908	lncRNA	RHOA-IT1
4521	7892846	ENSG00000067560	protein_coding	RHOA
58	7892847	ENSG00000207716	miRNA	MIR572
2862	7892847	ENSG00000250896	processed_pseudogene	RNPS1P1
4019	7892847	ENSG00000205937	protein_coding	RNPS1
3628	7892848	ENSG00000143545	protein_coding	RAB13
3650	7892848	ENSG00000143543	protein_coding	JTB
2069	7892851	ENSG00000143774	protein_coding	GUK1
1544	7892853	ENSG00000249353	processed_pseudogene	NPM1P27
2250	7892853	ENSG00000181163	protein_coding	NPM1
2603	7892853	ENSG00000239351	processed_pseudogene	NPM1P29
4416	7892853	ENSG00000213239	processed_pseudogene	NPM1P32
4564	7892853	ENSG00000069493	protein_coding	CLEC2D
4567	7892853	ENSG00000213443	processed_pseudogene	AC007068.1
4924	7892853	ENSG00000284722	lncRNA	AP003175.1
4925	7892853	ENSG00000213333	transcribed_processed_pseudogene	NPM1P50
4926	7892853	ENSG00000171561	protein_coding	OR2AT4
1276	7892854	ENSG00000136504	protein_coding	KAT7
72	7892856	ENSG00000212443	snoRNA	SNORA53
2821	7892856	ENSG00000075415	protein_coding	SLC25A3
725	7892857	ENSG00000108654	protein_coding	DDX5
2282	7892859	ENSG00000181163	protein_coding	NPM1
4736	7892860	ENSG00000134440	protein_coding	NARS1
748	7892861	ENSG00000084090	protein_coding	STARD7
2549	7892864	ENSG00000168385	protein_coding	SEPTIN2
1844	7892865	ENSG00000092199	protein_coding	HNRNPC
3132	7892866	ENSG00000127022	protein_coding	CANX
3558	7892867	ENSG00000109917	protein_coding	ZPR1
1428	7892868	ENSG00000268093	lncRNA	AC022154.1
1436	7892868	ENSG00000063177	protein_coding	RPL18
1906	7892868	ENSG00000234985	processed_pseudogene	AC074085.2
3531	7892868	ENSG00000224469	processed_pseudogene	AC009517.1
3923	7892868	ENSG00000240975	processed_pseudogene	AC021723.1
1015	7892870	ENSG00000219565	transcribed_processed_pseudogene	ZNF259P1
3544	7892870	ENSG00000109917	protein_coding	ZPR1
2937	7892872	ENSG00000169567	protein_coding	HINT1
3388	7892873	ENSG00000089053	protein_coding	ANAPC5
1176	7892876	ENSG00000178429	processed_pseudogene	RPS3AP5
2280	7892879	ENSG00000181163	protein_coding	NPM1
779	7892880	ENSG00000175826	protein_coding	CTDNEP1
4915	7892880	ENSG00000251467	processed_pseudogene	AC020893.2
5020	7892880	ENSG00000288307	protein_coding	CTDNEP1
589	7892882	ENSG00000147140	protein_coding	NONO
3039	7892882	ENSG00000260290	processed_pseudogene	AC092115.2
606	7892883	ENSG00000147140	protein_coding	NONO
3970	7892884	ENSG00000174231	protein_coding	PRPF8
4840	7892884	ENSG00000274442	protein_coding	PRPF8
846	7892886	ENSG00000065427	protein_coding	KARS1
3566	7892888	ENSG00000109917	protein_coding	ZPR1
3958	7892890	ENSG00000174231	protein_coding	PRPF8
4827	7892890	ENSG00000274442	protein_coding	PRPF8
1294	7892892	ENSG00000136504	protein_coding	KAT7
3746	7892893	ENSG00000075856	protein_coding	SART3
3913	7892894	ENSG00000126067	protein_coding	PSMB2
3837	7892896	ENSG00000272822	protein_coding	AC073610.2
3844	7892896	ENSG00000134287	protein_coding	ARF3
2210	7892898	ENSG00000110321	protein_coding	EIF4G2
2579	7892898	ENSG00000236287	protein_coding	ZBED5
4680	7892900	ENSG00000156482	protein_coding	RPL30
4900	7892901	ENSG00000121774	protein_coding	KHDRBS1
2703	7892902	ENSG00000096384	protein_coding	HSP90AB1
4450	7892904	ENSG00000100220	protein_coding	RTCB
2827	7892905	ENSG00000186166	protein_coding	CCDC84
4956	7892905	ENSG00000280975	protein_coding	CCDC84
2954	7892906	ENSG00000108107	protein_coding	RPL28
1222	7892907	ENSG00000232858	processed_pseudogene	RPL34P27
1367	7892907	ENSG00000236312	processed_pseudogene	RPL34P34
1555	7892907	ENSG00000240509	processed_pseudogene	RPL34P18
3320	7892907	ENSG00000109475	protein_coding	RPL34
3419	7892908	ENSG00000089053	protein_coding	ANAPC5
4477	7892910	ENSG00000100220	protein_coding	RTCB
2204	7892911	ENSG00000110321	protein_coding	EIF4G2
2582	7892911	ENSG00000236287	protein_coding	ZBED5
569	7892912	ENSG00000279827	TEC	AC136469.2
199	7892913	ENSG00000200731	snRNA	RNU1-124P
955	7892913	ENSG00000168522	protein_coding	FNTA
4046	7892914	ENSG00000205937	protein_coding	RNPS1
2300	7892915	ENSG00000181163	protein_coding	NPM1
972	7892917	ENSG00000168522	protein_coding	FNTA
4496	7892918	ENSG00000235908	lncRNA	RHOA-IT1
2639	7892919	ENSG00000139239	processed_pseudogene	RPL14P1
2837	7892923	ENSG00000118181	protein_coding	RPS25
792	7892926	ENSG00000175826	protein_coding	CTDNEP1
1278	7892927	ENSG00000136504	protein_coding	KAT7
4173	7892930	ENSG00000162241	protein_coding	SLC25A45
931	7892931	ENSG00000113141	protein_coding	IK
556	7892934	ENSG00000099783	protein_coding	HNRNPM
2819	7892935	ENSG00000075415	protein_coding	SLC25A3
2286	7892937	ENSG00000181163	protein_coding	NPM1
1856	7892938	ENSG00000092199	protein_coding	HNRNPC
65	7892939	ENSG00000207716	miRNA	MIR572
2869	7892939	ENSG00000250896	processed_pseudogene	RNPS1P1
4027	7892939	ENSG00000205937	protein_coding	RNPS1
1347	7892941	ENSG00000226360	processed_pseudogene	RPL10AP6
2961	7892941	ENSG00000198755	protein_coding	RPL10A
2918	7892942	ENSG00000083845	protein_coding	RPS5
70	7892944	ENSG00000207716	miRNA	MIR572
2874	7892944	ENSG00000250896	processed_pseudogene	RNPS1P1
4032	7892944	ENSG00000205937	protein_coding	RNPS1
3840	7892947	ENSG00000272822	protein_coding	AC073610.2
3848	7892947	ENSG00000134287	protein_coding	ARF3
2429	7892948	ENSG00000120948	protein_coding	TARDBP
3859	7892950	ENSG00000134287	protein_coding	ARF3
1407	7892951	ENSG00000225057	lncRNA	AC012485.1
2148	7892951	ENSG00000238213	processed_pseudogene	TARDBPP2
2422	7892951	ENSG00000120948	protein_coding	TARDBP
2450	7892951	ENSG00000277726	protein_coding	AL109811.3
822	7892953	ENSG00000065427	protein_coding	KARS1
